metric,model_mae,random_mae,delta_model_minus_random,mae_reduction_fraction,model_better_fraction,paired_t_stat_less,paired_t_p_less
eta,0.09176412959378849,0.34106155422247597,-0.24929742462868748,0.7309455479290687,0.827,-28.768044064379257,2.314310863819963e-133
tau_transfer,2.326527796456863,7.81631188311021,-5.489784086653346,0.7023496719105957,0.821,-27.007347909555158,2.3324769937976945e-121
ipr,0.04403080483012789,0.1349237933845364,-0.09089298855440847,0.6736616743005518,0.779,-20.431523982457314,4.203940913380399e-78
purity,0.04706493949405924,0.1312479275209991,-0.08418298802693985,0.6414043224680325,0.746,-19.18756930773914,2.115884218243799e-70
c_l1,0.038247499001981454,0.1685578041998683,-0.13031030519788686,0.7730897173017911,0.865,-30.03666187196869,4.6865561768730115e-142
