method,target_id,eta,tau_transfer,ipr,purity,c_l1,target_eta,target_tau_transfer,target_ipr,target_purity,target_c_l1,dataset_index,abs_err_eta,abs_err_tau_transfer,abs_err_ipr,abs_err_purity,abs_err_c_l1
model,3,0.7435375441493316,19.24167228851962,0.23495754563509152,0.24075013658345204,0.2859024265574022,0.8215711,20.109015,0.26017472,0.27023384,0.29238144,132514,0.07803356752974555,0.8673422225887784,0.02521717584432437,0.029483703166837877,0.006479009075303466
model,0,0.670494850576449,19.67042675266588,0.2132096791574876,0.2240917952795708,0.4356173670446721,0.7584671,13.679777,0.24725586,0.26755,0.47606024,33458,0.08797222763247436,5.990649607280137,0.0340461826016982,0.04345819632809522,0.040442874416128094
model,1,0.2350540084053434,27.881638369148728,0.7794138838564064,0.7799573789005253,0.09185291321677068,0.19029836,29.206373,0.668512,0.67043525,0.12942995,74123,0.044755644838944786,1.3247348455729515,0.11090189712392351,0.10952212909507486,0.0375770380933871
model,5,0.910072131259229,16.120913282339444,0.2585842585876649,0.2664060811769345,0.39234514010037574,0.8926104,17.333122,0.20670004,0.21893375,0.43974382,117269,0.017461760146405547,1.2122089710785247,0.051884216697520524,0.04747233495825315,0.047398676752193836
model,4,0.9600195062884853,6.960704637921324,0.2600744634550069,0.27579039607564687,0.39393332169474876,0.9542749,7.8531504,0.23684888,0.24990356,0.3851833,16005,0.005744613481478478,0.892445729815492,0.023225587574765505,0.025886836390893453,0.008750017146485212
model,7,0.9704547739915107,4.548722199000238,0.24676062707905652,0.2613655307948886,0.3674563661604467,0.9816332,5.389304,0.2285614,0.24210514,0.4024908,3648,0.011178412348821332,0.8405819620715391,0.01819922571186902,0.019260389512807008,0.0350344284982142
model,9,0.9523091747734771,15.50055315410657,0.2959026795449906,0.30212315431414355,0.344470107476281,0.9380948,15.09445,0.21274278,0.22207873,0.37097368,15184,0.014214380023263473,0.4061031571583271,0.08315990386635597,0.0800444286185335,0.02650356896681899
model,6,0.9190938259032382,4.921617493579106,0.2688800442677815,0.27875626017127064,0.30100502192054757,0.9328691,6.2080483,0.2524332,0.26191923,0.3260561,79622,0.013775250825582619,1.2864308500793413,0.01644683365643812,0.016837029948568616,0.025051071056976237
model,10,0.2980703969873781,25.07396376229582,0.23960331686202188,0.27013128031432654,0.5445663464616235,0.3533679,15.903919,0.26431936,0.2954089,0.5033014,116513,0.05529749790054611,9.170044542325115,0.024716043394173187,0.02527762423813318,0.04126496439680416
model,2,0.09194412617690509,21.46725658421721,0.21285108283501686,0.2328639670276837,0.47730660367461875,0.27761433,16.832853,0.26614442,0.30238298,0.5041054,57950,0.1856701991080528,4.634403266956468,0.05329334184187828,0.06951900878904299,0.026798785443575834
model,15,0.8399299371844992,16.581849613883527,0.29856030752572965,0.3040252409130018,0.2688315883012837,0.8357882,15.258431,0.35309833,0.35740274,0.2472404,6689,0.004141746819661507,1.3234181792521795,0.05453802535619784,0.053377500996025284,0.021591193947417098
model,14,0.5065627759284882,21.642909973194506,0.2017618774293336,0.2179550081574018,0.44985422442518913,0.56644064,22.261204,0.2002014,0.22082578,0.4909403,56719,0.059877865951547204,0.6182937926746348,0.001560470354405319,0.0028707683003847684,0.04108607818520821
model,12,0.28575627842071993,26.89641734435544,0.7058353862163614,0.7070076038522207,0.1357313705777138,0.17833596,27.576347,0.8260057,0.82681197,0.10525237,105690,0.10742031374100192,0.6799300067187772,0.12017031103400477,0.1198043654280222,0.030479000339409673
model,13,0.46810967890774574,23.355055199988723,0.3377743430684328,0.3889042799201179,0.6184937365230606,0.6999377,19.408997,0.30825895,0.37106785,0.69473225,8656,0.23182802231753502,3.9460586179574726,0.02951539235813616,0.017836428138272797,0.07623851226005096
model,8,0.9960426046937326,3.617320906064066,0.24644576217200814,0.29181183420286216,0.6216848583677961,0.99189395,2.958586,0.3242428,0.39422894,0.7152921,71597,0.004148657569251424,0.6587349285097446,0.07779703830215873,0.10241710103883706,0.09360723777020441
model,17,0.9021588563428616,17.78697838483766,0.2893635751360002,0.29399001289182397,0.2661057071926735,0.8213266,20.952593,0.45154494,0.46469358,0.2972435,116679,0.08083224291665314,3.1656144648937854,0.16218136533564897,0.17070356320566443,0.03113779852365034
model,11,0.3429040582032428,23.910638818170302,0.24899848668053942,0.2899644413583868,0.5384636005024593,0.58143514,20.258993,0.23310496,0.26235133,0.45395133,72301,0.2385310857443585,3.651645669366591,0.01589352755025225,0.02761310726338556,0.08451227150961571
model,21,0.9613834259653261,10.669408586520525,0.1760116402422972,0.18528923830407829,0.3836678212660185,0.90898746,11.489827,0.19924553,0.2113309,0.39048547,123859,0.052395963444726745,0.8204185695463693,0.023233887144368137,0.026041667252600487,0.0068176442605623055
model,16,0.9664555954065308,2.881478256361497,0.36115861807947236,0.39189814099633813,0.4040023420498457,0.97950435,3.3362637,0.2791093,0.30948865,0.4676934,100831,0.01304875144100337,0.45478540025471403,0.08204931889658051,0.08240948685968041,0.06369104641222095
model,22,0.05469204801123139,27.768016802275604,0.4088957873210038,0.4218348350028868,0.2801701502081809,0.14017388,27.405123,0.50211406,0.5138985,0.28082356,23074,0.08548183423478606,0.3628940453175957,0.09321827021988977,0.09206365685654921,0.0006534083607735441
