metric,model_mae,random_mae,nearest_neighbor_mae,delta_model_minus_nn,delta_nn_minus_random,model_reduction_vs_nn,nn_reduction_vs_random,model_better_fraction_vs_nn,nn_better_fraction_vs_random,model_vs_nn_paired_t_stat_less,model_vs_nn_paired_t_p_less,nn_vs_random_paired_t_stat_less,nn_vs_random_paired_t_p_less
eta,0.07339787665004899,0.3410615542224759,0.04689326542953821,0.026504611220510774,-0.29416828879293777,-0.5652114643271451,0.8625079114049028,0.43,0.914,9.159352368590268,1.0,-36.49228114828294,2.798980847386874e-186
tau_transfer,1.885404670890079,7.81631188311021,1.1481943892365463,0.7372102816535326,-6.668117493873664,-0.6420605156795063,0.8531027924157416,0.376,0.908,10.701798052190963,1.0,-35.31980687257362,2.722666377208404e-178
ipr,0.027928394635701126,0.13492379338453633,0.016920662678403017,0.01100773195729811,-0.11800313070613332,-0.6505496957485015,0.874590965359396,0.425,0.889,10.004326505380657,1.0,-26.047531808821677,7.317203818343136e-115
purity,0.03065902515609889,0.13124792752099904,0.01857630571741276,0.012082719438686131,-0.11267162180358631,-0.6504371548622947,0.8584640072549669,0.426,0.864,10.460968016295702,1.0,-25.26625022470478,1.3174121194547045e-109
c_l1,0.048800256898137266,0.16855780419986827,0.03921883199937729,0.009581424898759969,-0.12933897220049095,-0.24430673761299437,0.7673271066531374,0.453,0.846,5.044410136834941,0.9999997299237732,-28.841439931224176,7.281828320480004e-134
