method,target_id,dataset_index,neighbor_index,neighbor_context_distance,eta,target_eta,abs_err_eta,tau_transfer,target_tau_transfer,abs_err_tau_transfer,ipr,target_ipr,abs_err_ipr,purity,target_purity,abs_err_purity,c_l1,target_c_l1,abs_err_c_l1
nearest_neighbor_baseline,0,33458,5802,0.8399141181722702,0.7570713758468628,0.7584671,0.0013957241531371567,14.370298385620117,13.679777,0.6905213856201176,0.22676751017570496,0.24725586,0.020488349824295038,0.23907333612442017,0.26755,0.028476663875579844,0.40737399458885193,0.47606024,0.0686862454111481
nearest_neighbor_baseline,1,74123,135208,0.6165765032622167,0.21729658544063568,0.19029836,0.02699822544063568,28.372333526611328,29.206373,0.8340394733886711,0.6309887170791626,0.668512,0.0375232829208374,0.6315032243728638,0.67043525,0.03893202562713627,0.08322573453187943,0.12942995,0.04620421546812056
nearest_neighbor_baseline,2,57950,30881,0.9605152379561062,0.20839367806911469,0.27761433,0.06922065193088534,17.065401077270508,16.832853,0.23254807727050775,0.21631400287151337,0.26614442,0.049830417128486626,0.27152198553085327,0.30238298,0.030860994469146752,0.5434059500694275,0.5041054,0.03930055006942745
nearest_neighbor_baseline,3,132514,76385,0.6898487166615647,0.8160954117774963,0.8215711,0.005475688222503661,20.104475021362305,20.109015,0.00453997863769473,0.2711862027645111,0.26017472,0.011011482764511082,0.2775639295578003,0.27023384,0.00733008955780029,0.27871909737586975,0.29238144,0.013662342624130241
nearest_neighbor_baseline,4,16005,74510,0.8293342084139591,0.9080417156219482,0.9542749,0.046233184378051795,11.3579740524292,7.8531504,3.5048236524291996,0.2867775857448578,0.23684888,0.049928705744857776,0.29824671149253845,0.24990356,0.048343151492538455,0.35877493023872375,0.3851833,0.02640836976127625
nearest_neighbor_baseline,5,117269,64891,0.6907022412477847,0.8275898098945618,0.8926104,0.06502059010543826,16.702924728393555,17.333122,0.6301972716064448,0.19997388124465942,0.20670004,0.006726158755340578,0.21054208278656006,0.21893375,0.008391667213439952,0.3856940269470215,0.43974382,0.05404979305297852
nearest_neighbor_baseline,6,79622,64346,0.7742355384785847,0.9768711924552917,0.9328691,0.04400209245529174,6.7859883308410645,6.2080483,0.5779400308410647,0.24511905014514923,0.2524332,0.007314149854850793,0.25231361389160156,0.26191923,0.00960561610839844,0.26467424631118774,0.3260561,0.06138185368881227
nearest_neighbor_baseline,7,3648,47762,0.45648714936206314,0.9809659123420715,0.9816332,0.0006672876579284504,6.288252830505371,5.389304,0.898948830505371,0.2349594086408615,0.2285614,0.006398008640861513,0.2569689452648163,0.24210514,0.014863805264816288,0.4482889175415039,0.4024908,0.045798117541503924
nearest_neighbor_baseline,8,71597,36987,1.4045159825007818,0.9869744777679443,0.99189395,0.004919472232055688,5.319565773010254,2.958586,2.360979773010254,0.3278069794178009,0.3242428,0.0035641794178009056,0.3793202042579651,0.39422894,0.01490873574203494,0.6432797908782959,0.7152921,0.07201230912170409
nearest_neighbor_baseline,9,15184,4490,0.7477288977690822,0.9393200278282166,0.9380948,0.0012252278282165463,14.473809242248535,15.09445,0.620640757751465,0.22483088076114655,0.21274278,0.012088100761146553,0.23191365599632263,0.22207873,0.00983492599632263,0.31961560249328613,0.37097368,0.05135807750671384
nearest_neighbor_baseline,10,116513,32832,1.157438458919486,0.29938599467277527,0.3533679,0.053981905327224744,21.789024353027344,15.903919,5.885105353027344,0.255734920501709,0.26431936,0.008584439498291019,0.2851327657699585,0.2954089,0.010276134230041478,0.521700918674469,0.5033014,0.018399518674468984
nearest_neighbor_baseline,11,72301,36998,0.7347145809704948,0.43956369161605835,0.58143514,0.1418714483839416,19.153926849365234,20.258993,1.1050661506347659,0.23236678540706635,0.23310496,0.0007381745929336547,0.24888677895069122,0.26235133,0.01346455104930877,0.4496452212333679,0.45395133,0.004306108766632066
nearest_neighbor_baseline,12,105690,19973,0.8446235140977091,0.3099328875541687,0.17833596,0.1315969275541687,27.620410919189453,27.576347,0.04406391918945474,0.8090837597846985,0.8260057,0.016921940215301468,0.8097410202026367,0.82681197,0.017070949797363233,0.10266454517841339,0.10525237,0.0025878248215866068
nearest_neighbor_baseline,13,8656,69975,1.3393620128422634,0.6173688769340515,0.6999377,0.08256882306594848,23.591766357421875,19.408997,4.182769357421876,0.2402929961681366,0.30825895,0.06796595383186338,0.2718311548233032,0.37106785,0.09923669517669675,0.6029049754142761,0.69473225,0.09182727458572393
nearest_neighbor_baseline,14,56719,132371,0.4041787839569807,0.5867980122566223,0.56644064,0.020357372256622264,20.875268936157227,22.261204,1.3859350638427728,0.2001802921295166,0.2002014,2.1107870483400015e-05,0.21758557856082916,0.22082578,0.0032402014391708367,0.4544305205345154,0.4909403,0.036509779465484615
nearest_neighbor_baseline,15,6689,29549,0.6394158591978422,0.7122849822044373,0.8357882,0.12350321779556273,15.413310050964355,15.258431,0.1548790509643556,0.3348286747932434,0.35309833,0.018269655206756608,0.3496185839176178,0.35740274,0.007784156082382199,0.3047468662261963,0.2472404,0.05750646622619629
nearest_neighbor_baseline,16,100831,124739,0.7605067612559552,0.9713948965072632,0.97950435,0.00810945349273684,4.598341464996338,3.3362637,1.262077764996338,0.26803192496299744,0.2791093,0.011077375037002568,0.3068886995315552,0.30948865,0.0025999504684448005,0.42222362756729126,0.4676934,0.04546977243270872
nearest_neighbor_baseline,17,116679,1585,0.9610341820610195,0.814178466796875,0.8213266,0.007148133203125018,19.876941680908203,20.952593,1.0756513190917971,0.5097410678863525,0.45154494,0.05819612788635253,0.5148810744285583,0.46469358,0.050187494428558355,0.288770854473114,0.2972435,0.00847264552688598
nearest_neighbor_baseline,18,101305,122929,0.9097283758332598,0.13961051404476166,0.07165852,0.06795199404476165,25.636938095092773,30.52825,4.8913119049072264,0.3952825665473938,0.41275868,0.01747611345260619,0.40045642852783203,0.42202425,0.02156782147216796,0.21530771255493164,0.2335222,0.018214487445068372
nearest_neighbor_baseline,19,84681,94621,0.6936712735514801,0.3163650333881378,0.44525677,0.1288917366118622,26.237199783325195,25.671879,0.5653207833251948,0.31984370946884155,0.3178487,0.0019950094688415687,0.32221946120262146,0.32355633,0.0013368687973785431,0.21279004216194153,0.26838478,0.05559473783805846
nearest_neighbor_baseline,20,29614,91082,0.9239237270321001,0.1242300346493721,0.11241332,0.011816714649372104,26.995872497558594,27.629997,0.6341245024414057,0.3392733037471771,0.3617695,0.022496196252822898,0.34603211283683777,0.36447397,0.018441857163162212,0.22329699993133545,0.1772296,0.04606739993133546
nearest_neighbor_baseline,21,123859,117627,0.7406128777597324,0.9734295606613159,0.90898746,0.06444210066131595,10.224406242370605,11.489827,1.2654207576293945,0.19896982610225677,0.19924553,0.0002757038977432291,0.2090386152267456,0.2113309,0.0022922847732543827,0.366204172372818,0.39048547,0.024281297627182008
nearest_neighbor_baseline,22,23074,84945,0.8110184845979401,0.2076483964920044,0.14017388,0.0674745164920044,27.600969314575195,27.405123,0.19584631457519563,0.5525657534599304,0.50211406,0.05045169345993039,0.5579079389572144,0.5138985,0.04400943895721432,0.20577460527420044,0.28082356,0.07504895472579959
