metric,model_mae,random_mae,nearest_neighbor_mae,delta_model_minus_nn,delta_nn_minus_random,model_reduction_vs_nn,nn_reduction_vs_random,model_better_fraction_vs_nn,nn_better_fraction_vs_random,model_vs_nn_paired_t_stat_less,model_vs_nn_paired_t_p_less,nn_vs_random_paired_t_stat_less,nn_vs_random_paired_t_p_less
eta,0.09784569882251808,0.3410615542224759,0.05465913204994444,0.043186566772573626,-0.2864024221725315,-0.7901070718267569,0.8397382191770285,0.405,0.89,12.398738413379618,1.0,-35.13025653147181,5.362673889879109e-177
tau_transfer,2.4979693999631922,7.81631188311021,1.5458834005647886,0.9520859993984031,-6.270428482545421,-0.6158847420514115,0.8022234240799432,0.376,0.874,11.098345137761843,1.0,-33.092494032106565,4.839300836679343e-163
ipr,0.049810709954696004,0.13492379338453633,0.020936605990444907,0.02887410396425109,-0.11398718739409142,-1.3791205688939612,0.8448264352398169,0.308,0.869,16.467443172775962,1.0,-25.705171954615114,1.4833518984424266e-112
purity,0.05168984284650921,0.13124792752099904,0.021971176795016593,0.029718666051492607,-0.10927675072598246,-1.3526205869060814,0.832597914420391,0.312,0.853,16.68145446372738,1.0,-25.02111429701456,5.776502013166091e-108
c_l1,0.04185431649306432,0.16855780419986827,0.03324370984123843,0.008610606651825897,-0.13531409435862984,-0.2590146133794169,0.802775611612622,0.467,0.875,5.65970973760819,0.9999999900983584,-30.35198919846122,3.2103803672752994e-144
