kind,k_a,k_b,ari,nmi
structural,30,50,0.8307447535904509,0.8832642800452204
structural,30,100,0.7788960813127664,0.8450245924099568
structural,50,100,0.8665094854330736,0.9008033171484572
dynamic,30,50,0.3779653275076619,0.6119439550841784
dynamic,30,100,0.5199211002506015,0.676265004831373
dynamic,50,100,0.4242021105790681,0.6363851568267064
