dynamic_family_id,structural_mode_id,dynamic_structural_submode_id,n,fraction_within_dynamic,fraction_within_structural,approx_medoid_real_row,median_H_abs,IQR_H_mean
D000,S002,D000-S002,1342,0.1606608404166168,0.1754248366013072,48457,4.622538089752197,32.678550720214844
D000,S003,D000-S003,140,0.0167604453489764,0.0545383716400467,48783,8.236867904663086,37.297977447509766
D000,S004,D000-S004,230,0.0275350173590326,0.096194061062317,14864,7.99607515335083,37.7031364440918
D000,S005,D000-S005,99,0.0118520292110618,0.046326626111371,48747,9.7748441696167,34.82224655151367
D000,S006,D000-S006,301,0.0360349575002992,0.1231587561374795,39038,7.701157569885254,37.1270637512207
D000,S007,D000-S007,233,0.0278941697593678,0.0983122362869198,29926,7.271852016448975,36.85942077636719
D000,S008,D000-S008,198,0.0237040584221237,0.1340555179417738,61509,7.914263725280762,34.087093353271484
D000,S009,D000-S009,207,0.0247815156231294,0.138739946380697,48370,7.46103572845459,34.98741149902344
D000,S010,D000-S010,218,0.0260984077576918,0.1459170013386881,32566,8.334449768066406,33.36151885986328
D000,S011,D000-S011,190,0.0227463186878965,0.1283783783783783,10496,8.862903594970703,34.51145553588867
D000,S012,D000-S012,180,0.0215491440201125,0.1329394387001477,40786,9.17668342590332,33.239776611328125
D000,S013,D000-S013,235,0.0281336046929246,0.1680972818311874,10708,7.421113967895508,33.94477844238281
D000,S014,D000-S014,95,0.0113731593439482,0.0787728026533996,56454,8.496655464172363,34.44967269897461
D000,S015,D000-S015,209,0.0250209505566862,0.1477031802120141,39826,8.202655792236328,35.218875885009766
D000,S016,D000-S016,103,0.0123308990781755,0.0786259541984732,53848,9.201053619384766,35.09349822998047
D000,S017,D000-S017,144,0.01723931521609,0.1214165261382799,54243,7.338513374328613,32.47514343261719
D000,S018,D000-S018,212,0.0253801029570214,0.1666666666666666,38657,9.162013053894045,34.97917556762695
D000,S019,D000-S019,188,0.0225068837543397,0.136231884057971,17571,8.025775909423828,34.451133728027344
D000,S020,D000-S020,179,0.0214294265533341,0.124047124047124,56593,8.415059089660645,33.90096664428711
D000,S021,D000-S021,221,0.026457560158027,0.1643122676579925,1128,9.938596725463867,32.785701751708984
