context,metric,n_targets,eta_squared_dynamic_family,permutation_p_value,permutations,perm_mean,perm_p95
c5,eta,453,0.03738151137114557,0.15942028985507245,2000,0.02692962380438067,0.04762331490754516
c5,tau_transfer,453,0.032428388438714026,0.25537231384307846,2000,0.026659658416971117,0.04620645625021293
c5,ipr,453,0.025255751428225125,0.5017491254372813,2000,0.026484134677406786,0.04446698725708447
c5,purity,453,0.02201248386773194,0.6316841579210395,2000,0.026830186441119723,0.046448536872144806
c5,c_l1,453,0.030024615035823016,0.3258370814592704,2000,0.02637717696042781,0.04629376781870146
c12,eta,453,0.023673613789145582,0.567216391804098,2000,0.02635624380434141,0.045082425115428974
c12,tau_transfer,453,0.019502283116025185,0.7081459270364817,2000,0.02611863140810393,0.04686540687157271
c12,ipr,453,0.019593972609834653,0.7076461769115442,2000,0.026284074262068132,0.04497772175319742
c12,purity,453,0.018078415098954217,0.7736131934032984,2000,0.026486838625105008,0.04573964374455195
c12,c_l1,453,0.0176561805394184,0.7916041979010495,2000,0.026451009119050187,0.04542187097837475
c18,eta,453,0.05667758209422852,0.01249375312343828,2000,0.026595355395241653,0.046609869815376126
c18,tau_transfer,453,0.05536701267210502,0.015992003998001,2000,0.0265637517084252,0.046714614564667474
c18,ipr,453,0.03633755063766338,0.1794102948525737,2000,0.026774607827290898,0.046839739792040834
c18,purity,453,0.0423005753119492,0.08445777111444278,2000,0.026443378552035456,0.04683112481305225
c18,c_l1,453,0.03858263555580866,0.11794102948525736,2000,0.0261134592408755,0.04523575990661666
c25,eta,453,0.036541760001045635,0.16741629185407297,2000,0.02652358660022933,0.045440856321343925
c25,tau_transfer,453,0.04143652873719217,0.09295352323838081,2000,0.026626304996873365,0.04622634684659485
c25,ipr,453,0.021505515427875495,0.6346826586706646,2000,0.026369754469547407,0.046634873104282396
c25,purity,453,0.02571555536202778,0.48075962018990503,2000,0.026447513806627833,0.04619808224302582
c25,c_l1,453,0.02961061101245145,0.3003498250874563,2000,0.02611946800654368,0.046413853669245386
c26,eta,453,0.01602124498340491,0.8525737131434283,2000,0.026563522667568867,0.0457862098016772
c26,tau_transfer,453,0.023744018220197304,0.5502248875562219,2000,0.02644182575098356,0.04585172455531446
c26,ipr,453,0.0352877205643839,0.18940529735132433,2000,0.026655554320189942,0.046612124839986814
c26,purity,453,0.027108593709960032,0.42328835582208896,2000,0.02646745099133236,0.045797851159463804
c26,c_l1,453,0.016450702885909607,0.8255872063968016,2000,0.026295760938548907,0.04599817208115408
c33,eta,453,0.017812446529355444,0.7721139430284858,2000,0.02617162011276627,0.04502034911646645
c33,tau_transfer,453,0.01764795676807749,0.7891054472763618,2000,0.02690559869139728,0.0485709296065499
c33,ipr,453,0.033339700793403114,0.22188905547226387,2000,0.026376737480582058,0.04673930880204144
c33,purity,453,0.02795166793979832,0.392303848075962,2000,0.026319778479143862,0.045360435100114574
c33,c_l1,453,0.02158073608032903,0.6541729135432284,2000,0.026676049786177443,0.04643796723720632
