source,metric,score_column,quantile,threshold,high_n,nonhigh_n,high_pass,nonhigh_pass,high_pass_rate,nonhigh_pass_rate,pass_rate_delta,enrichment_ratio,bath_threshold,deloc_threshold
original_mechanistic_signature,bath_resonance_original,bath_score,0.5,0.9980699,19194,96559,8693,49329,0.4529019485255809,0.510869002371607,-0.05796705384602613,0.8865324504385161,,
original_mechanistic_signature,bath_resonance_original,bath_score,0.55,0.998550731,19194,96559,7765,44455,0.40455350630405335,0.4603920918816475,-0.055838585577594135,0.8787151504940521,,
original_mechanistic_signature,bath_resonance_original,bath_score,0.6,0.99892724,19194,96559,6853,39512,0.3570386579139314,0.4092005923839311,-0.05216193446999967,0.8725272263998608,,
original_mechanistic_signature,bath_resonance_original,bath_score,0.65,0.9992323175,19194,96559,5980,34623,0.3115556944878608,0.3585683364575027,-0.04701264196964189,0.8688879156645395,,
original_mechanistic_signature,bath_resonance_original,bath_score,0.7,0.999467451,19194,96559,5086,29737,0.26497863915807024,0.307967149618368,-0.04298851046029778,0.8604120260437874,,
original_mechanistic_signature,bath_resonance_original,bath_score,0.75,0.99964976,19194,96559,4263,24832,0.22210065645514224,0.2571691918930395,-0.03506853543789726,0.863636327587471,,
original_mechanistic_signature,bath_resonance_original,bath_score,0.8,0.99978542,19194,96559,3435,19802,0.17896217567989997,0.20507668886380348,-0.02611451318390351,0.872659767774743,,
original_mechanistic_signature,bath_resonance_original,bath_score,0.85,0.9998845,19194,96559,2576,14842,0.13420860685630925,0.15370913120475563,-0.019500524348446374,0.8731335985337803,,
original_mechanistic_signature,bath_resonance_original,bath_score,0.9,0.99995005,19194,96559,1663,9973,0.08664165885172449,0.10328400252695244,-0.016642343675227947,0.8388681376780973,,
original_mechanistic_signature,bath_resonance_original,bath_score,0.95,0.9999885,19194,96559,813,5002,0.04235698655829947,0.051802524881160744,-0.009445538322861276,0.817662587981375,,
original_mechanistic_signature,source_sink_delocalization,deloc_score,0.5,0.020019857,19194,96559,18124,31600,0.9442534125247474,0.32726105282780477,0.6169923596969427,2.8853216854423125,,
original_mechanistic_signature,source_sink_delocalization,deloc_score,0.55,0.026088521800000004,19194,96559,17620,26476,0.9179952068354694,0.27419505173003034,0.6438001551054391,3.347964162895683,,
original_mechanistic_signature,source_sink_delocalization,deloc_score,0.6,0.03400828059999999,19194,96559,16982,21754,0.8847556528081693,0.2252923083296223,0.6594633444785469,3.9271454022020786,,
original_mechanistic_signature,source_sink_delocalization,deloc_score,0.65,0.044442467950000016,19194,96559,16056,17542,0.8365114098155674,0.18167130976915669,0.6548401000464107,4.604532277983204,,
original_mechanistic_signature,source_sink_delocalization,deloc_score,0.7,0.059301175399999954,19194,96559,14919,13664,0.7772741481713036,0.14150933626073178,0.6357648119105718,5.492741106065054,,
original_mechanistic_signature,source_sink_delocalization,deloc_score,0.75,0.08089033400000001,19194,96559,13474,10358,0.701990205272481,0.1072712020629874,0.5947190032094936,6.544069533781182,,
original_mechanistic_signature,source_sink_delocalization,deloc_score,0.8,0.111964244,19194,96559,11687,7452,0.6088881942273627,0.07717561283774688,0.5317125813896159,7.889645081374116,,
original_mechanistic_signature,source_sink_delocalization,deloc_score,0.85,0.1599245085,19194,96559,9416,5058,0.4905699697822236,0.05238248117731128,0.43818748860491236,9.365153363424621,,
original_mechanistic_signature,source_sink_delocalization,deloc_score,0.9,0.23566657200000016,19194,96559,6666,3104,0.3472960300093779,0.03214614898662994,0.315149881022748,10.803658943838764,,
original_mechanistic_signature,source_sink_delocalization,deloc_score,0.95,0.3497125014999999,19194,96559,3476,1396,0.18109825987287695,0.014457481954038464,0.1666407779188385,12.526265669817425,,
bath_sensitivity_variants,spectral_only,spectral_only_score,0.5,0.9980699,19194,96559,8693,49329,0.4529019485255809,0.510869002371607,-0.05796705384602613,0.8865324504385161,,
bath_sensitivity_variants,spectral_only,spectral_only_score,0.55,0.998550731,19194,96559,7765,44455,0.40455350630405335,0.4603920918816475,-0.055838585577594135,0.8787151504940521,,
bath_sensitivity_variants,spectral_only,spectral_only_score,0.6,0.99892724,19194,96559,6853,39512,0.3570386579139314,0.4092005923839311,-0.05216193446999967,0.8725272263998608,,
bath_sensitivity_variants,spectral_only,spectral_only_score,0.65,0.9992323175,19194,96559,5980,34623,0.3115556944878608,0.3585683364575027,-0.04701264196964189,0.8688879156645395,,
bath_sensitivity_variants,spectral_only,spectral_only_score,0.7,0.999467451,19194,96559,5086,29737,0.26497863915807024,0.307967149618368,-0.04298851046029778,0.8604120260437874,,
bath_sensitivity_variants,spectral_only,spectral_only_score,0.75,0.99964976,19194,96559,4263,24832,0.22210065645514224,0.2571691918930395,-0.03506853543789726,0.863636327587471,,
bath_sensitivity_variants,spectral_only,spectral_only_score,0.8,0.99978542,19194,96559,3435,19802,0.17896217567989997,0.20507668886380348,-0.02611451318390351,0.872659767774743,,
