context,dynamic_family,metric,n_targets,model_abs_error_mean,model_abs_error_median
c5,D012,tau_transfer,7,0.8374753779443681,0.8131159340295788
c12,D000,c_l1,59,0.04953966708509832,0.035299429246605
c12,D000,eta,59,0.098663793780047,0.0456624856930587
c12,D000,ipr,59,0.039132373152920896,0.0220625721335865
c12,D000,purity,59,0.0402462685723746,0.0215523865385516
c12,D000,tau_transfer,59,2.3675637809742955,1.629926842222904
c12,D001,c_l1,50,0.040848970345683924,0.02673305498949985
c12,D001,eta,50,0.0795347244786515,0.043489448889076104
c12,D001,ipr,50,0.0481093933676271,0.03144162612407355
c12,D001,purity,50,0.048117925945666974,0.0332366467494921
c12,D001,tau_transfer,50,2.6048692925400316,2.3473300582273957
c12,D002,c_l1,54,0.041764696325585576,0.0260353144553915
c12,D002,eta,54,0.07919669601721957,0.05552140632865455
c12,D002,ipr,54,0.04980438485947841,0.0317975071904666
c12,D002,purity,54,0.05298852082888663,0.0331352947855217
c12,D002,tau_transfer,54,2.3597719060076363,1.703594369298667
c12,D003,c_l1,47,0.03865138181256695,0.0235077392673725
c12,D003,eta,47,0.09375082259214092,0.0639959015824962
c12,D003,ipr,47,0.04932517143691383,0.0295482158353002
c12,D003,purity,47,0.05179478618897288,0.0330583404571829
c12,D003,tau_transfer,47,2.439529875745209,1.870116486594835
c12,D004,c_l1,40,0.03507748316800391,0.0270477170966163
c12,D004,eta,40,0.0665285355236237,0.0430625792699134
c12,D004,ipr,40,0.05558022247435194,0.03613533208967025
c12,D004,purity,40,0.056933320629199445,0.0372609542954919
c12,D004,tau_transfer,40,1.8781022204234645,1.0539274851237046
c12,D005,c_l1,28,0.052029235272071116,0.03531354740197465
c12,D005,eta,28,0.08983868678038416,0.043331813211508946
c12,D005,ipr,28,0.03527262951797956,0.02651972712989585
c12,D005,purity,28,0.04260527625433469,0.0295762347842856
c12,D005,tau_transfer,28,2.237600764883219,1.3669218041237592
c12,D006,c_l1,38,0.048694843774100945,0.02657906966242385
c12,D006,eta,38,0.12247154337445763,0.1017862483930366
c12,D006,ipr,38,0.05063109720639813,0.0384816910771417
c12,D006,purity,38,0.053327876347113154,0.04382435835341075
c12,D006,tau_transfer,38,2.9525306238763114,2.200279084961041
c12,D007,c_l1,31,0.03516471055120055,0.0297630418223137
c12,D007,eta,31,0.10633289177183808,0.0526700427186395
c12,D007,ipr,31,0.05235562268812491,0.0451502210568469
c12,D007,purity,31,0.05298076873599761,0.046331019112509
c12,D007,tau_transfer,31,2.5831429347316863,2.131212078380237
c12,D008,c_l1,26,0.02942983409232823,0.0209588455429323
c12,D008,eta,26,0.10065381288832799,0.05520929246345185
c12,D008,ipr,26,0.03142672156574801,0.02545469898256955
c12,D008,purity,26,0.032551840133168565,0.028211956253370002
c12,D008,tau_transfer,26,3.023898378004345,2.0024325686701374
c12,D009,c_l1,32,0.042910958872255336,0.0310600656135255
c12,D009,eta,32,0.11083539818009491,0.0729891035463406
c12,D009,ipr,32,0.044885295268578894,0.032685147520854996
c12,D009,purity,32,0.04824086301731759,0.031573187614828455
c12,D009,tau_transfer,32,2.207348318132992,1.5156954281258361
c12,D010,c_l1,19,0.038482782110759416,0.0405338733584842
c12,D010,eta,19,0.0824271287486849,0.0495384030630953
c12,D010,ipr,19,0.042314677708008654,0.0361680556877124
c12,D010,purity,19,0.0413915969274292,0.0320807379423509
c12,D010,tau_transfer,19,2.8426702344585775,2.3891739264927807
c12,D011,c_l1,22,0.04189968736063926,0.04059398613889545
c12,D011,eta,22,0.11766640163892149,0.10115824583586375
c12,D011,ipr,22,0.052537093250900835,0.03182990771092825
c12,D011,purity,22,0.05503970055434386,0.03678806685146595
c12,D011,tau_transfer,22,2.96647893914475,2.3169941671689376
c12,D012,c_l1,7,0.05009094132145907,0.0248888298419603
c12,D012,eta,7,0.10451279252540654,0.0605913242912368
c12,D012,ipr,7,0.06361296853141706,0.0396045612017609
c12,D012,purity,7,0.06479847994955815,0.0387969344339761
c12,D012,tau_transfer,7,2.441938430659438,2.772352973998345
