metric,observed,random_mean,delta,interpretation
NMI,0.0495826614009282,0.00119234129514,0.0483903201057881,non-random but weak
ARI,0.0149245660022468,-2.6861537966584876e-05,0.014951427540213384,very weak pairwise agreement
D_to_S_purity,0.141258064516129,0.1233870967741935,0.0178709677419355,small concentration effect
entropy_S_given_D,4.851253688548408,5.060248157351066,-0.2089944688026577,D reduces S uncertainty slightly
