condition,k,silhouette,min_cluster_size,max_cluster_size,largest_mode_fraction,eta20_span
c_nonhigh,2,0.3746336109787576,82,918,0.918,0.45247891545295715
c_late,2,0.5562076347325748,176,824,0.824,0.4242084175348282
c_fast,2,0.6991559334926636,15,985,0.985,0.7549293711781502
c_very_fast,2,0.7110796947813987,38,962,0.962,0.6651626378297807
c_fmo,2,0.6680539617871867,17,983,0.983,0.7553493976593018
