method,target_id,dataset_index,neighbor_index,neighbor_context_distance,eta,target_eta,abs_err_eta,tau_transfer,target_tau_transfer,abs_err_tau_transfer,ipr,target_ipr,abs_err_ipr,purity,target_purity,abs_err_purity,c_l1,target_c_l1,abs_err_c_l1
nearest_neighbor_baseline,0,33458,124278,0.06524186612731481,0.7741990685462952,0.7584671,0.015731968546295216,13.780494689941406,13.679777,0.10071768994140662,0.24705617129802704,0.24725586,0.0001996887019729554,0.26838839054107666,0.26755,0.0008383905410766501,0.4813322126865387,0.47606024,0.005271972686538673
nearest_neighbor_baseline,1,74123,12051,0.08881073230404998,0.19244901835918427,0.19029836,0.0021506583591842654,29.583873748779297,29.206373,0.3775007487792976,0.6636534929275513,0.668512,0.004858507072448726,0.6651818156242371,0.67043525,0.0052534343757629776,0.1223418191075325,0.12942995,0.007088130892467487
nearest_neighbor_baseline,2,57950,78305,0.3096824370330104,0.22442969679832458,0.27761433,0.053184633201675435,18.46048355102539,16.832853,1.6276305510253906,0.26054126024246216,0.26614442,0.0056031597575378345,0.30696097016334534,0.30238298,0.0045779901633453135,0.5183064341545105,0.5041054,0.014201034154510461
nearest_neighbor_baseline,3,132514,105002,0.08778917781893227,0.8306404948234558,0.8215711,0.009069394823455812,20.328296661376953,20.109015,0.2192816613769537,0.26044249534606934,0.26017472,0.00026777534606930997,0.26899218559265137,0.27023384,0.0012416544073486357,0.30351030826568604,0.29238144,0.011128868265686043
nearest_neighbor_baseline,4,16005,470,0.05184037388306102,0.952938973903656,0.9542749,0.0013359260963440311,8.193072319030762,7.8531504,0.3399219190307621,0.23910653591156006,0.23684888,0.002257655911560047,0.2513405978679657,0.24990356,0.0014370378679657014,0.38523396849632263,0.3851833,5.06684963226256e-05
nearest_neighbor_baseline,5,117269,39419,0.07447472282203733,0.9103743433952332,0.8926104,0.017763943395233128,17.23357582092285,17.333122,0.09954617907714791,0.20458881556987762,0.20670004,0.002111224430122377,0.21897552907466888,0.21893375,4.177907466887398e-05,0.445700466632843,0.43974382,0.00595664663284301
nearest_neighbor_baseline,6,79622,11581,0.0658781596247621,0.9291310906410217,0.9328691,0.003738009358978278,6.0220723152160645,6.2080483,0.1859759847839353,0.25574803352355957,0.2524332,0.003314833523559546,0.2651572823524475,0.26191923,0.003238052352447507,0.3332135081291199,0.3260561,0.007157408129119858
nearest_neighbor_baseline,7,3648,42507,0.05367272366357869,0.9873567819595337,0.9816332,0.005723581959533708,5.0643815994262695,5.389304,0.32492240057373056,0.22581800818443298,0.2285614,0.0027433918155670145,0.24264514446258545,0.24210514,0.0005400044625854528,0.4018193781375885,0.4024908,0.0006714218624114809
nearest_neighbor_baseline,8,71597,110072,0.08290044475432604,0.9889247417449951,0.99189395,0.002969208255004907,2.806812047958374,2.958586,0.15177395204162591,0.32548704743385315,0.3242428,0.0012442474338531517,0.4009019136428833,0.39422894,0.006672973642883273,0.7061566710472107,0.7152921,0.009135428952789293
nearest_neighbor_baseline,9,15184,39619,0.04317454876493048,0.942017674446106,0.9380948,0.003922874446105951,15.37786865234375,15.09445,0.28341865234374986,0.21333470940589905,0.21274278,0.0005919294058990554,0.22120161354541779,0.22207873,0.0008771164545822163,0.37188246846199036,0.37097368,0.0009087884619903841
nearest_neighbor_baseline,10,116513,46862,0.2735981858213606,0.3371272385120392,0.3533679,0.016240661487960828,15.83016300201416,15.903919,0.07375599798583998,0.24702559411525726,0.26431936,0.01729376588474274,0.277850478887558,0.2954089,0.01755842111244199,0.4738770127296448,0.5033014,0.029424387270355234
nearest_neighbor_baseline,11,72301,39977,0.06891674954397142,0.5707148313522339,0.58143514,0.010720308647766075,19.877527236938477,20.258993,0.3814657630615237,0.23650504648685455,0.23310496,0.0034000864868545533,0.262424498796463,0.26235133,7.316879646301899e-05,0.45383694767951965,0.45395133,0.00011438232048033292
nearest_neighbor_baseline,12,105690,99111,0.09726138189352052,0.1822829246520996,0.17833596,0.0039469646520996216,27.93494987487793,27.576347,0.3586028748779313,0.832862138748169,0.8260057,0.0068564387481689915,0.8335669040679932,0.82681197,0.006754934067993212,0.09883269667625427,0.10525237,0.006419673323745725
