metric,model_mae,random_mae,nearest_neighbor_mae,delta_model_minus_nn,delta_nn_minus_random,model_reduction_vs_nn,nn_reduction_vs_random,model_better_fraction_vs_nn,nn_better_fraction_vs_random,model_vs_nn_paired_t_stat_less,model_vs_nn_paired_t_p_less,nn_vs_random_paired_t_stat_less,nn_vs_random_paired_t_p_less
eta,0.09176412959378845,0.3410615542224759,0.01133626234611212,0.08042786724767634,-0.32972529187636385,-7.09474294014198,0.9667618287497821,0.13,0.974,25.42938088107903,1.0,-41.45269261966047,1.3473080769874549e-219
tau_transfer,2.326527796456863,7.81631188311021,0.27971889669759514,2.046808899759268,-7.536592986412614,-7.317377995996026,0.9642134422371218,0.09,0.977,26.917334085150816,1.0,-40.53654256743452,1.6370654964929035e-213
ipr,0.04403080483012785,0.13492379338453633,0.004236923093647575,0.039793881736480276,-0.13068687029088874,-9.392165223896393,0.9685976580752349,0.093,0.974,27.56428409898254,1.0,-29.33658626114403,2.9621434138663488e-137
purity,0.04706493949405919,0.13124792752099904,0.004323116230314483,0.042741823263744705,-0.12692481129068459,-9.886808724695213,0.9670614514684599,0.078,0.966,28.401384406463126,1.0,-29.06014215761306,2.3184586206163828e-135
c_l1,0.03824749900198141,0.16855780419986827,0.005915673159844475,0.03233182584213694,-0.16264213104002379,-5.465451685465826,0.9649041870951882,0.142,0.975,23.00235193396664,1.0,-36.3299816476648,3.553774681110877e-185
