context,dynamic_family,metric,n_targets,model_mae,random_mae,delta_model_minus_random,reduction_vs_random,model_better_vs_random,nn_mae,delta_model_minus_nn,model_better_vs_nn
c5,D008,eta,26,0.1204431503572054,0.31723363544512434,-0.19679048508791894,0.6203329757634106,0.7692307692307693,0.012812160539712125,0.10763098981749328,0.11538461538461539
c5,D008,tau_transfer,26,3.0150480219103226,8.096058256330865,-5.081010234420543,0.6275906217012892,0.6923076923076923,0.22586815567556506,2.7891798662347576,0.07692307692307693
c5,D008,ipr,26,0.039457110230162185,0.09671389000578816,-0.057256779775625974,0.5920223017831178,0.8076923076923077,0.00389910210462712,0.035558008125535064,0.11538461538461539
c5,D008,purity,26,0.041529291330381364,0.09266031936242654,-0.051131028032045174,0.5518114807273009,0.8461538461538461,0.004854966616571823,0.03667432471380954,0.07692307692307693
c5,D008,c_l1,26,0.026304701898527186,0.1612069940790579,-0.1349022921805307,0.8368265468331539,0.9615384615384616,0.00499030984811265,0.021314392050414535,0.19230769230769232
c5,D007,eta,31,0.11241039372248628,0.37895665058664946,-0.26654625686416317,0.7033687268755735,0.8064516129032258,0.010974371151297749,0.10143602257118853,0.06451612903225806
c5,D007,tau_transfer,31,2.4522742261432198,8.379710606825599,-5.927436380682379,0.7073557380196701,0.8064516129032258,0.22802967647655872,2.224244549666661,0.06451612903225806
c5,D007,ipr,31,0.05929519926215371,0.1271913283651012,-0.06789612910294748,0.5338109914856181,0.6774193548387096,0.0032489730401980004,0.05604622622195571,0.0967741935483871
c5,D007,purity,31,0.059787328328420715,0.12300669708483349,-0.06321936875641276,0.5139506242722097,0.7096774193548387,0.00406815528274532,0.0557191730456754,0.06451612903225806
c5,D007,c_l1,31,0.028797241685112624,0.13473199969886118,-0.10593475801374856,0.7862627902096221,0.8709677419354839,0.006793511214365142,0.022003730470747482,0.16129032258064516
c5,D004,eta,40,0.10832944729669461,0.3753906684981789,-0.26706122120148434,0.7114221093185749,0.8,0.00977550683030238,0.09855394046639222,0.075
c5,D004,tau_transfer,40,2.4613948670850667,7.747933179808851,-5.286538312723785,0.6823159402691452,0.775,0.2598585913724518,2.201536275712615,0.125
c5,D004,ipr,40,0.04643269377451837,0.13041536116251776,-0.0839826673879994,0.6439630012858988,0.75,0.0037415645978278573,0.04269112917669051,0.05
c5,D004,purity,40,0.04716174834678743,0.12439857069881954,-0.07723682235203211,0.6208819114090114,0.7,0.0037661236610631406,0.04339562468572429,0.0
c5,D004,c_l1,40,0.03846419667063332,0.16781488577835604,-0.12935068910772274,0.7707938929718341,0.9,0.005480890026628443,0.032983306644004874,0.2
c5,D006,eta,38,0.10183791417152692,0.3361894931769333,-0.23435157900540637,0.6970818058316576,0.8421052631578947,0.014095651577652331,0.08774226259387459,0.15789473684210525
c5,D006,tau_transfer,38,2.522701197992088,7.824854769993141,-5.302153572001052,0.6776040869581149,0.7894736842105263,0.32016011192996335,2.2025410860621246,0.13157894736842105
c5,D006,ipr,38,0.04071051951266693,0.09837186272424239,-0.05766134321157546,0.5861568706207453,0.7894736842105263,0.006024244239931561,0.03468627527273537,0.13157894736842105
c5,D006,purity,38,0.04651476631245061,0.09926019975173134,-0.052745433439280724,0.5313855258321774,0.7105263157894737,0.004789078678747424,0.04172568763370319,0.13157894736842105
c5,D006,c_l1,38,0.03824911242973194,0.18096451379147213,-0.14271540136174019,0.7886374978809,0.9473684210526315,0.006205625034343273,0.03204348739538867,0.10526315789473684
c5,D011,eta,22,0.14301926779944465,0.3947721151409466,-0.25175284734150194,0.6377168945978313,0.8636363636363636,0.013761307961140529,0.12925795983830413,0.09090909090909091
c5,D011,tau_transfer,22,3.6796714959673307,6.747803669962928,-3.0681321739955973,0.45468604660995615,0.6818181818181818,0.35658802985867627,3.3230834661086543,0.09090909090909091
c5,D011,ipr,22,0.036175311405494376,0.09719074335779485,-0.06101543195230047,0.6277905677465625,0.8181818181818182,0.004431412206334146,0.03174389919916023,0.13636363636363635
c5,D011,purity,22,0.03794420944608677,0.08883319187954941,-0.05088898243346264,0.5728600015010601,0.7727272727272727,0.004297414632068936,0.03364679481401783,0.13636363636363635
c5,D011,c_l1,22,0.030323588484362108,0.10489499469322654,-0.07457140620886443,0.7109148194053895,0.6363636363636364,0.006081381318548323,0.024242207165813785,0.18181818181818182
c5,D000,eta,59,0.10235894678707692,0.304765828756432,-0.20240688196935508,0.6641390302687711,0.7457627118644068,0.008856420122906777,0.09350252666417015,0.1694915254237288
c5,D000,tau_transfer,59,2.5039218182774907,7.308445840664326,-4.804524022386834,0.657393394865756,0.864406779661017,0.28158559648147824,2.2223362217960125,0.03389830508474576
c5,D000,ipr,59,0.03788271203956733,0.12138125959350023,-0.0834985475539329,0.687903123048528,0.8305084745762712,0.005181819322886007,0.03270089271668132,0.13559322033898305
c5,D000,purity,59,0.0411730382063127,0.11278695229972517,-0.07161391409341247,0.6349485701422484,0.7288135593220338,0.004757237556368239,0.03641580064994446,0.11864406779661017
c5,D000,c_l1,59,0.05187697109452627,0.17808322221887216,-0.1262062511243459,0.7086925402171398,0.7966101694915254,0.0054742963917007595,0.04640267470282551,0.05084745762711865
c5,D002,eta,54,0.0759113879120207,0.3625821997422243,-0.2866708118302036,0.7906367494984876,0.8518518518518519,0.014631946659294728,0.061279441252725976,0.2037037037037037
c5,D002,tau_transfer,54,2.145376493657896,7.1571829512886245,-5.011806457630728,0.7002484764942849,0.7777777777777778,0.25717152376844593,1.88820496988945,0.09259259259259259
c5,D002,ipr,54,0.04442603869476459,0.14672280965579265,-0.10229677096102807,0.6972110962229612,0.7592592592592593,0.004122275919222605,0.040303762775541985,0.05555555555555555
c5,D002,purity,54,0.0463093954605709,0.14353710219544896,-0.09722770673487807,0.6773698594143751,0.6851851851851852,0.0042883006209754465,0.04202109483959545,0.07407407407407407
c5,D002,c_l1,54,0.03425381402665351,0.1911730325855271,-0.15691921855887359,0.8208229813411103,0.8888888888888888,0.005523707382137454,0.02873010664451606,0.14814814814814814
c5,D001,eta,50,0.07315280120010041,0.37227739961661327,-0.29912459841651284,0.8034992151674095,0.8,0.011637233857043032,0.06151556734305738,0.2
c5,D001,tau_transfer,50,2.3366195968186267,8.104720395232064,-5.768100798413437,0.7116964580057272,0.84,0.27700545767395013,2.0596141391446765,0.04
c5,D001,ipr,50,0.0356109729768946,0.186420095208483,-0.15080912223158838,0.8089746014931005,0.86,0.0036804288967315258,0.03193054408016307,0.1
c5,D001,purity,50,0.03671664735525012,0.18247847584182675,-0.14576182848657662,0.7987891602784084,0.86,0.0039314577223876455,0.03278518963286248,0.08
c5,D001,c_l1,50,0.038695186899444275,0.14857235663785506,-0.10987716973841079,0.739553253545249,0.82,0.00635301685334853,0.03234217004609574,0.16
c5,D003,eta,47,0.08839179546666484,0.3584356894598643,-0.2700438939931995,0.7533956632503179,0.7872340425531915,0.010098912170718202,0.07829288329594664,0.14893617021276595
c5,D003,tau_transfer,47,2.327818314688683,8.262200481447248,-5.9343821667585654,0.7182568590636607,0.851063829787234,0.28064866536189936,2.0471696493267837,0.06382978723404255
c5,D003,ipr,47,0.03973683649534963,0.12230953262926443,-0.0825726961339148,0.6751125146083505,0.723404255319149,0.0035668557720005363,0.03616998072334909,0.10638297872340426
c5,D003,purity,47,0.042392839514616115,0.12192588823767789,-0.07953304872306177,0.6523064943190977,0.6808510638297872,0.003996352091332242,0.03839648742328387,0.10638297872340426
c5,D003,c_l1,47,0.0371158816051023,0.138815365269108,-0.10169948366400572,0.7326241116525587,0.8723404255319149,0.005679214185901345,0.03143666741920095,0.1702127659574468
c5,D005,eta,28,0.08706003408854535,0.3530554361414434,-0.26599540205289807,0.753409733496734,0.8571428571428571,0.009216316178731464,0.07784371790981388,0.03571428571428571
c5,D005,tau_transfer,28,1.9198611546436013,6.792204819964374,-4.872343665320773,0.7173434539252201,0.8571428571428571,0.3474550961162021,1.5724060585273991,0.10714285714285714
c5,D005,ipr,28,0.04359777896755127,0.1510183337509546,-0.10742055478340334,0.711308038668678,0.7857142857142857,0.004097990312271075,0.0394997886552802,0.07142857142857142
c5,D005,purity,28,0.05551001780980281,0.15300356482193453,-0.09749354701213173,0.637197879184022,0.75,0.005681331892212414,0.0498286859175904,0.07142857142857142
c5,D005,c_l1,28,0.05651808920058499,0.16043290934446186,-0.10391482014387687,0.6477151138658448,0.7857142857142857,0.006070452354862989,0.050447636845721996,0.10714285714285714
