context,dynamic_family,n_targets,mean_reduction_vs_random,mean_model_better_vs_random,mean_delta_model_minus_nn,mean_model_better_vs_nn,target_eta_median,target_eta_mean,dominant_structural_mode,dominant_priority_group
c18,D010,19,0.6633887943774464,0.7789473684210526,0.36351388940393903,0.22105263157894733,0.79485834,0.6366577102631578,S002,late_high
c18,D011,22,0.6121613421188601,0.7454545454545455,0.38532712769117894,0.2,0.71356778,0.5923124759090909,S002,non_high
c18,D012,7,0.48527935834747593,0.7714285714285715,1.0487434951048298,0.2,0.5376436,0.526127025,S000,very_fast
c25,D000,59,0.6907951632579098,0.7966101694915254,0.3631275485927493,0.42711864406779665,0.6695798,0.6333568564915255,S002,non_high
c25,D001,50,0.7449774454300442,0.82,0.23191337573958584,0.384,0.70105555,0.6415858622799999,S002,non_high
c25,D002,54,0.7107255723471118,0.8111111111111111,0.2338035547868948,0.3851851851851852,0.613028225,0.5475076024814816,S004,non_high
c25,D003,47,0.6709571514513133,0.825531914893617,0.18777498189791783,0.34893617021276596,0.6937274,0.6110848254042553,S006,non_high
c25,D004,40,0.6597554595325074,0.775,0.3390805431399904,0.34500000000000003,0.65645895,0.5782027148,S002,non_high
c25,D005,28,0.6510977706974528,0.7714285714285715,0.15169610304380504,0.2857142857142857,0.55178755,0.5515568811428571,S002,non_high
c25,D006,38,0.619190528139246,0.7684210526315789,0.17662811421586289,0.39473684210526316,0.578287475,0.5552079147368421,S002,non_high
c25,D007,31,0.7131660600428111,0.8129032258064516,0.18184471690621662,0.4064516129032258,0.7331022,0.6598312658064516,S002,non_high
c25,D008,26,0.7087831025769598,0.8615384615384615,0.26749168390396066,0.34615384615384615,0.6861385,0.6042406707692307,S002,non_high
c25,D009,32,0.6662068002251796,0.81875,0.21056591637137748,0.3375,0.71201345,0.6243048181874999,S000,very_fast
c25,D010,19,0.6862409060253658,0.8105263157894737,0.10921022175639958,0.41052631578947363,0.79485834,0.6366577102631578,S002,late_high
c25,D011,22,0.5491131568074296,0.7818181818181819,0.2728563501817834,0.37272727272727274,0.71356778,0.5923124759090909,S002,non_high
c25,D012,7,0.578875488680839,0.8285714285714285,0.8939111151472272,0.42857142857142855,0.5376436,0.526127025,S000,very_fast
c26,D000,59,0.7647529793005005,0.8372881355932205,0.17691746546640308,0.4203389830508474,0.6695798,0.6333568564915255,S002,non_high
c26,D001,50,0.7855661231416541,0.836,0.14946043156906313,0.43599999999999994,0.70105555,0.64158586228,S002,non_high
c26,D002,54,0.7755310152768354,0.8814814814814815,0.12279579074800692,0.45185185185185184,0.613028225,0.5475076024814816,S004,non_high
c26,D003,47,0.7568462012197882,0.8808510638297872,0.002091590599103806,0.4851063829787233,0.6937274,0.6110848254042553,S006,non_high
c26,D004,40,0.7256671145509636,0.76,0.3134833081657461,0.38,0.65645895,0.5782027148,S002,non_high
c26,D005,28,0.7305556216413656,0.7714285714285715,0.12860196854017966,0.45,0.55178755,0.5515568811428571,S002,non_high
c26,D006,38,0.713076739795629,0.8526315789473685,0.1861412654071912,0.42105263157894735,0.578287475,0.5552079147368421,S002,non_high
c26,D007,31,0.7481997252598034,0.8516129032258064,0.24180582929564848,0.34838709677419355,0.7331022,0.6598312658064517,S002,non_high
c26,D008,26,0.7371435618070097,0.8615384615384615,0.11648659636063896,0.43076923076923074,0.6861385,0.6042406707692307,S002,non_high
c26,D009,32,0.7489939943239681,0.85625,0.13848777375737265,0.38125,0.71201345,0.6243048181874999,S000,very_fast
c26,D010,19,0.719594383754932,0.8315789473684211,0.14741560715586127,0.3684210526315789,0.79485834,0.6366577102631578,S002,late_high
c26,D011,22,0.5985153986203626,0.8,0.3027254830094773,0.33636363636363636,0.71356778,0.5923124759090909,S002,non_high
c26,D012,7,0.7921189786704782,0.9428571428571428,0.1995472510421376,0.45714285714285713,0.5376436,0.526127025,S000,very_fast
c33,D000,59,0.7513144234318772,0.8169491525423729,0.04815976668882277,0.4915254237288136,0.6695798,0.6333568564915255,S002,non_high
c33,D001,50,0.7730996909626855,0.8400000000000001,0.01459968026029596,0.45600000000000007,0.70105555,0.6415858622799999,S002,non_high
c33,D002,54,0.7559801944753041,0.874074074074074,0.038582259649871935,0.5,0.613028225,0.5475076024814816,S004,non_high
c33,D003,47,0.7308758285642882,0.8425531914893616,0.0770471391172608,0.47659574468085103,0.6937274,0.6110848254042553,S006,non_high
c33,D004,40,0.6984459815768742,0.75,0.24572309154092187,0.465,0.65645895,0.5782027148,S002,non_high
c33,D005,28,0.728810936937512,0.7714285714285715,0.08315930136919689,0.5571428571428572,0.55178755,0.5515568811428571,S002,non_high
c33,D006,38,0.6972133334580858,0.8210526315789473,0.08683608430229676,0.5157894736842106,0.578287475,0.5552079147368421,S002,non_high
c33,D007,31,0.7229671659952521,0.8064516129032258,0.1353882426703698,0.4451612903225806,0.7331022,0.6598312658064517,S002,non_high
c33,D008,26,0.7328996686778112,0.823076923076923,0.07273706204050397,0.4769230769230769,0.6861385,0.6042406707692307,S002,non_high
c33,D009,32,0.7707549163702815,0.9,0.018255071106407894,0.55,0.71201345,0.6243048181874999,S000,very_fast
c33,D010,19,0.6911945012897243,0.8105263157894737,0.22702264370329198,0.42105263157894735,0.79485834,0.6366577102631578,S002,late_high
c33,D011,22,0.6419702435874681,0.7727272727272727,0.27706127686628246,0.38181818181818183,0.71356778,0.5923124759090909,S002,non_high
c33,D012,7,0.8241829109895171,0.9714285714285713,0.04592514447543069,0.5714285714285714,0.5376436,0.526127025,S000,very_fast
