method,target_id,eta,tau_transfer,ipr,purity,c_l1,target_eta,target_tau_transfer,target_ipr,target_purity,target_c_l1,dataset_index,abs_err_eta,abs_err_tau_transfer,abs_err_ipr,abs_err_purity,abs_err_c_l1
model,33,0.466529881665705,24.739444477953025,0.6772065638025254,0.6784099653312924,0.12860408077224195,0.26906386,29.479458,0.47149256,0.47205588,0.08023107,3780,0.19746602148771125,4.740013377271584,0.20571400508479776,0.2063540831157925,0.048373010253748294
model,30,0.9706072639794991,7.486931140519296,0.540728528039039,0.5457556274474924,0.19464944672073767,0.95581746,7.8988957,0.5376967,0.5409289,0.19346185,54231,0.014789802965705201,0.4119645999897372,0.0030318088694223366,0.004826727205640591,0.0011875964352075774
model,32,0.3220432857823261,29.570408046120612,0.5233436204166496,0.5273653008839158,0.2267583032763708,0.4251765,26.881758,0.34101763,0.3654213,0.4346095,53973,0.10313321549178278,2.688650309914557,0.18232598674012068,0.16194400571790013,0.207851199277569
model,31,0.8990850064716235,15.844883086874042,0.2742732288983354,0.29358519096782226,0.42859978528308984,0.8265191,18.020243,0.25307313,0.26497865,0.3731522,88946,0.07256593441580683,2.1753596041659975,0.02120010282068341,0.0286065437357666,0.055447588875771725
model,34,0.8064010860273918,9.056170063930885,0.27126066558063805,0.2732450699799189,0.14896042050114439,0.7910845,8.753873,0.32675344,0.330872,0.18104318,33369,0.015316558058031449,0.3022971925319595,0.05549277193843544,0.05762692928384455,0.032082757341949486
model,38,0.8766778552800788,11.949560595412024,0.21072841282337934,0.21711521513329013,0.2676826538907323,0.9171716,11.977125,0.21092434,0.21796142,0.2701651,7605,0.040493742200695126,0.027564572434656043,0.00019592945128649175,0.000846200515170259,0.00248243190180919
model,36,0.9189531077727332,12.85300434099814,0.2473104588634309,0.25120065291120514,0.24886420403292706,0.74816424,20.599714,0.2153853,0.22379883,0.30053902,438,0.17078887122717046,7.746709938176664,0.03192515596216289,0.02740182657434448,0.05167481269070576
model,39,0.8643407547546363,17.690600169131038,0.3673161182293988,0.3705316915883015,0.22750596891381908,0.8091837,16.048763,0.35426044,0.35733542,0.22742453,15555,0.055157037980649526,1.6418368939845536,0.013055673588285521,0.013196273125548219,8.143673875499191e-05
model,37,0.9492902899248501,13.051783668598922,0.38423275923414674,0.40057938317472747,0.3715722850464447,0.7057752,20.88893,0.33743313,0.378856,0.4793313,114877,0.2435150886042019,7.837145698466507,0.04679962968512025,0.02172337989027312,0.10775902951730654
model,40,0.5255480657459416,23.98076563685078,0.6748415917905373,0.6850822829446308,0.30301885387904093,0.4872733,24.499378,0.6528329,0.65993994,0.2622686,79003,0.03827476009141584,0.5186125674949231,0.022008666470865634,0.025142338200520697,0.04075025103098795
model,41,0.1664463027185556,28.83766830604966,0.26716459631582,0.27185563782755046,0.2468342852916878,0.3272198,28.572351,0.2764688,0.29257074,0.33818063,21133,0.16077351134356294,0.26531685036118446,0.009304217103522028,0.020715102156961873,0.09134634610746686
model,35,0.9147253259599238,16.986945535316934,0.22174802143276048,0.22749780115417287,0.26936154188156286,0.9604588,10.726496,0.26803547,0.27506015,0.2394322,107298,0.045733489137885,6.260449792519083,0.04628745000660109,0.04756234589286998,0.02992934109211126
model,44,0.697916640876931,20.848037286776915,0.19905043290946067,0.205245733218866,0.3640268522792192,0.71210027,20.609009,0.20744209,0.21471155,0.3618089,14756,0.014183626533347371,0.2390284977144148,0.008391657005814901,0.00946581367902219,0.0022179562144609144
model,47,0.5519349007969001,22.965592116314472,0.2649228527961584,0.26811526289196946,0.21124119786138376,0.39657944,25.758356,0.29651713,0.3012383,0.23993585,90336,0.15535545638848336,2.7927639780458797,0.03159428091661015,0.03312303552416823,0.028694647275258695
model,46,0.9944018984673841,5.550356387653871,0.17506341953684235,0.1914967483015174,0.550413391887481,0.99411213,5.7093306,0.18793839,0.21306454,0.569427,62112,0.0002897644875867744,0.15897417112298484,0.012874972625480652,0.021567788150776007,0.019013621509735845
model,43,0.29805381508994405,21.504317831016955,0.2590608173314458,0.2656527177273505,0.2679186052448658,0.20223852,26.457943,0.3336268,0.35060653,0.35357392,138175,0.09581530007052724,4.953625131629529,0.07456598940454662,0.0849538131774194,0.0856553130977245
model,42,0.5550612096827469,16.33838684319602,0.2640986488598771,0.27838620477434933,0.28329409483884793,0.6676844,17.194998,0.35203397,0.3696623,0.32533953,13497,0.11262316655702975,0.8566109442795664,0.08793532388029623,0.09127610987904727,0.042045431099186126
model,49,0.44057137599520585,23.31128086050494,0.2642124805913698,0.27833433120571244,0.35485455261837334,0.23206739,27.365128,0.27865744,0.3234331,0.52623135,71595,0.2085039847188463,4.053846702971622,0.014444955779479796,0.04509876997150314,0.17137679589618354
model,45,0.9382779653435286,6.93197932258898,0.30117471259963946,0.3054086289785848,0.23987381368706173,0.92296517,8.217064,0.28740525,0.2927139,0.24605627,86386,0.015312796390586692,1.285084581219614,0.013769460142974421,0.012694718637321967,0.006182459892535741
model,53,0.90914332622034,15.600060968249977,0.20718783583173805,0.22217242376895915,0.5569662571138294,0.9128947,15.74081,0.22438486,0.25013077,0.50879335,118408,0.003751399579220549,0.14074942603713225,0.017197023372554243,0.027958348821678053,0.04817290307940558
model,51,0.08107117287994807,25.399971649887757,0.3025012025394365,0.31661413336398175,0.37929440223717165,0.15314956,25.967892,0.29575887,0.309474,0.3785461,126241,0.07207838721393163,0.5679200432274776,0.006742329315178097,0.007140141969938785,0.000748313303226944
model,52,0.6159136944310759,21.283289051889525,0.24364943704831926,0.27427130721063603,0.4291191110840513,0.6138185,23.328236,0.32066396,0.370717,0.6176781,48181,0.0020951681630705377,2.0449465743311777,0.07701452173959883,0.09644568182973873,0.18855899474709492
model,55,0.28492790236758936,26.627183038490582,0.3079427965138904,0.3105879768085281,0.23159186806239349,0.1713736,24.089294,0.33033255,0.33302355,0.22643408,77211,0.11355429663943994,2.537888604896832,0.02238975091233336,0.022435571317692582,0.005157786269562065
