metric,model_mae,random_mae,delta_model_minus_random,mae_reduction_fraction,model_better_fraction,paired_t_stat_less,paired_t_p_less
eta,0.09274203134018782,0.34106155422247597,-0.24831952288228815,0.7280783184384019,0.831,-28.341977699843593,1.8931348169456074e-130
tau_transfer,2.284522725139158,7.81631188311021,-5.531789157971051,0.7077236989384157,0.816,-27.01290051709635,2.138564338463717e-121
ipr,0.0458330846877853,0.1349237933845364,-0.08909070869675106,0.6603039127638534,0.781,-20.338497269448517,1.6094642348324003e-77
purity,0.04865883804412495,0.1312479275209991,-0.08258908947687416,0.6292601417546975,0.751,-19.17560208023312,2.5034967016865228e-70
c_l1,0.04242275501584546,0.1685578041998683,-0.12613504918402282,0.7483192474105651,0.857,-29.030500820407948,3.699588279167556e-135
