group,n,eta_median,bath_score_median,deloc_score_median,bath_pass_rate,deloc_pass_rate,joint_pass_rate,loose_joint_pass_rate
all,140000,0.6556291580200195,0.9980698823928833,0.020019857212901115,0.25000714285714287,0.25,0.06593571428571429,0.06561428571428571
high_eta_ge_0.95,19194,0.9735125303268433,0.9974855184555054,0.15561902523040771,0.22210065645514224,0.701990205272481,0.1620819005939356,0.16083150984682712
nonhigh_eta_lt_0.85,96559,0.46091794967651367,0.998190701007843,0.009776848368346691,0.2571691918930395,0.1072712020629874,0.03376174152590644,0.03391708696237534
top10_eta,14000,0.9791237115859985,0.9974103569984436,0.16918811202049255,0.21828571428571428,0.7326428571428572,0.16557142857142856,0.16442857142857142
bottom50_eta,70000,0.3403804302215576,0.9981958270072937,0.00627878587692976,0.2591428571428571,0.06727142857142857,0.022828571428571427,0.023114285714285716
