run_name,context,context_dim,best_epoch,stopped_epoch,stop_reason,best_val_nll,samples,seed,checkpoint_policy,early_stopping_patience,lr_scheduler,lr_patience,target_split,n_targets,eval_seed,mean_model_mae,mean_random_mae,mean_delta_model_minus_random,mean_reduction_fraction,mean_model_better_fraction,eta_mae,eta_reduction,tau_transfer_mae,tau_transfer_reduction,ipr_mae,ipr_reduction,purity_mae,purity_reduction,c_l1_mae,c_l1_reduction
nsf_h27_c5_seed0,c5,5,82,182,early_stopping,21.9632890625,140000,0,best_val,100,ReduceLROnPlateau,20,val,1000,716,0.5095270338753639,1.7184205924876177,-1.2088935586122536,0.7042901867820079,0.8076000000000001,0.0917641295937884,0.7309455479290687,2.326527796456863,0.7023496719105957,0.0440308048301278,0.6736616743005518,0.0470649394940592,0.6414043224680325,0.0382474990019814,0.7730897173017911
nsf_h27_c12_seed0,c12,12,203,303,early_stopping,15.70259765625,140000,0,best_val,100,ReduceLROnPlateau,20,val,1000,716,0.5478339936159958,1.7184205924876177,-1.170586598871622,0.6764423003702353,0.798,0.0978456988225181,0.713114252805249,2.497969399963192,0.6804158486356076,0.049810709954696,0.6308233803304492,0.0516898428465092,0.6061664071743982,0.0418543164930643,0.751691612905473
nsf_h27_c18_seed0,c18,18,123,223,early_stopping,19.442337193080355,140000,0,best_val,100,ReduceLROnPlateau,20,val,1000,716,0.4894090118924771,1.7184205924876177,-1.229011580595141,0.7096087080762573,0.8109999999999999,0.0829420916024454,0.7568119579131982,2.23219452647666,0.7144184418612988,0.0430573649704627,0.6808764126001996,0.0456203344271254,0.652411011062812,0.0432307419856922,0.7435257169437781
nsf_h27_c25_seed0,c25,25,227,327,early_stopping,14.179202427455357,140000,0,best_val,100,ReduceLROnPlateau,20,val,1000,716,0.5028358868454202,1.7184205924876177,-1.2155847056421973,0.6947370638611867,0.8071999999999999,0.0927420313401878,0.7280783184384019,2.284522725139158,0.7077236989384157,0.0458330846877853,0.6603039127638534,0.0486588380441249,0.6292601417546975,0.0424227550158454,0.7483192474105651
nsf_h27_c26_seed0,c26,26,291,391,early_stopping,8.909426060267856,140000,0,best_val,100,ReduceLROnPlateau,20,val,1000,716,0.41323804484601306,1.7184205924876177,-1.3051825476416048,0.7626950296481374,0.8513999999999999,0.073397876650049,0.7847958066766703,1.885404670890079,0.7587858955623131,0.0279283946357011,0.7930061560298375,0.0306590251560989,0.7664037388232768,0.0488002568981373,0.710483551148589
nsf_h27_c33_seed0,c33,33,318,418,early_stopping,6.116314383370535,140000,0,best_val,100,ReduceLROnPlateau,20,val,1000,716,0.43167435031401125,1.7184205924876177,-1.286746242173607,0.7431954226305203,0.8293999999999999,0.0786044853107947,0.7695299152377619,1.962207016842587,0.7489599895466557,0.0319693888524417,0.7630559588453899,0.0342637589135857,0.7389386669888276,0.0513271016506471,0.695492582533967
