metric,model_mae,random_mae,nearest_neighbor_mae,delta_model_minus_nn,delta_nn_minus_random,model_reduction_vs_nn,nn_reduction_vs_random,model_better_fraction_vs_nn,nn_better_fraction_vs_random,model_vs_nn_paired_t_stat_less,model_vs_nn_paired_t_p_less,nn_vs_random_paired_t_stat_less,nn_vs_random_paired_t_p_less
eta,0.08294209160244544,0.3410615542224759,0.01888046135525712,0.0640616302471883,-0.3221810928672188,-3.3930119101327385,0.9446420708475946,0.217,0.96,22.03079290865931,1.0,-40.44059476891288,7.133291290117836e-213
tau_transfer,2.23219452647666,7.81631188311021,0.6998006330270446,1.5323938934496153,-7.116511250083165,-2.189757798333392,0.9104692029319863,0.217,0.944,21.996549449674237,1.0,-37.924974424670545,5.455580485585069e-196
ipr,0.043057364970462655,0.13492379338453633,0.0138507191892387,0.02920664578122396,-0.12107307419529763,-2.1086735917594823,0.8973441315145669,0.249,0.915,19.53269470034305,1.0,-27.006003939729705,2.3819959195078957e-121
purity,0.04562033442712536,0.13124792752099904,0.01506091025986332,0.030559424167262043,-0.11618701726113574,-2.029055590929427,0.8852483955797805,0.262,0.892,19.81341072656518,1.0,-26.3573491515935,5.9127354559669076e-117
c_l1,0.04323074198569219,0.16855780419986827,0.022222717507574565,0.02100802447811763,-0.14633508669229373,-0.9453400319271072,0.8681596641990906,0.343,0.92,12.563899487513158,1.0,-32.68912646880308,2.8417051948491485e-160
