metric,model_mae,random_mae,delta_model_minus_random,mae_reduction_fraction,model_better_fraction,paired_t_stat_less,paired_t_p_less
eta,0.08294209160244549,0.34106155422247597,-0.2581194626200305,0.7568119579131982,0.833,-29.507018455931377,2.0115132760212393e-138
tau_transfer,2.23219452647666,7.81631188311021,-5.58411735663355,0.7144184418612988,0.823,-27.856712018779575,3.881075002022208e-127
ipr,0.04305736497046271,0.1349237933845364,-0.09186642841407365,0.6808764126001996,0.784,-20.541059223194456,8.625551231388036e-79
purity,0.04562033442712541,0.1312479275209991,-0.08562759309387369,0.652411011062812,0.762,-19.52988707796065,1.686911095420808e-72
c_l1,0.04323074198569224,0.1685578041998683,-0.12532706221417603,0.7435257169437781,0.853,-29.124053515955087,8.463336310352094e-136
