method,target_id,eta,tau_transfer,ipr,purity,c_l1,target_eta,target_tau_transfer,target_ipr,target_purity,target_c_l1,dataset_index,abs_err_eta,abs_err_tau_transfer,abs_err_ipr,abs_err_purity,abs_err_c_l1
model,3,0.8765788412177317,16.27294506963886,0.2528882556550688,0.2601087084101892,0.35133056372728505,0.8215711,20.109015,0.26017472,0.27023384,0.29238144,132514,0.055007729538654515,3.83606944146954,0.00728646582434711,0.010125131340100735,0.05894912809457936
model,0,0.7022215649798362,18.50495216384964,0.2066651553441734,0.21600344294005078,0.39747759605684074,0.7584671,13.679777,0.24725586,0.26755,0.47606024,33458,0.05624551322908711,4.825175018463899,0.04059070641501239,0.05154654866761524,0.07858264540395943
model,4,0.9573768679495099,6.234995264503333,0.33375071240118565,0.35355789790176195,0.41719209576421823,0.9542749,7.8531504,0.23684888,0.24990356,0.3851833,16005,0.0031019751425030995,1.6181551032334838,0.09690183652094425,0.10365433821700853,0.03200879121595468
model,5,0.9459100847972497,13.538145302634845,0.25908116280429166,0.2664635114694466,0.39489957348864485,0.8926104,17.333122,0.20670004,0.21893375,0.43974382,117269,0.05329971368442621,3.7949769507831235,0.05238112091414732,0.047529765250765244,0.04484424336392473
model,1,0.17048127754270156,29.342082267095922,0.7305300431708383,0.7316984738113053,0.10659899072399598,0.19029836,29.206373,0.668512,0.67043525,0.12942995,74123,0.019817086023697056,0.13570905237424213,0.06201805643835534,0.06126322400585482,0.022830960586161797
model,2,0.08781469818185214,22.309653842113352,0.24378548621924367,0.27125772295859396,0.4902033732681272,0.27761433,16.832853,0.26614442,0.30238298,0.5041054,57950,0.18979962710310574,5.47680052485261,0.022358938457651467,0.031125252858132724,0.013902015850067395
model,6,0.9101146072020968,4.870844841242523,0.27061465050225747,0.2793665371767988,0.2960335187562368,0.9328691,6.2080483,0.2524332,0.26191923,0.3260561,79622,0.022754469526723997,1.3372035024159246,0.018181439890914086,0.017447306954096797,0.030022574221287013
model,7,0.9794703111462383,5.502635058561843,0.2239444534827229,0.23466715951199307,0.32677319754360973,0.9816332,5.389304,0.2285614,0.24210514,0.4024908,3648,0.0021628751940937496,0.11333089749006575,0.004616947884464595,0.007437981770088531,0.07571759711505116
model,10,0.3630484088645998,17.518674229997515,0.2641030717425386,0.29688749786941904,0.5510811441222725,0.3533679,15.903919,0.26431936,0.2954089,0.5033014,116513,0.009680513976675631,1.614755010026812,0.00021628851365645962,0.0014785933169593202,0.04777976205745316
model,9,0.9125185211803185,17.578615443784145,0.25602054502679555,0.2664018499382496,0.3945168229448205,0.9380948,15.09445,0.21274278,0.22207873,0.37097368,15184,0.025576273569895114,2.4841654468359025,0.04327776934816091,0.04432312424263957,0.023543146501720513
model,14,0.6660953998338568,20.32661666425624,0.22108778244979754,0.247782599757581,0.47452085430792007,0.56644064,22.261204,0.2002014,0.22082578,0.4909403,56719,0.0996547579538214,1.9345871016129017,0.02088637537486926,0.02695682329979443,0.01641944830247727
model,15,0.8751803145553388,16.812144805411144,0.3700849922142118,0.3748080129581721,0.27092785249747187,0.8357882,15.258431,0.35309833,0.35740274,0.2472404,6689,0.0393921241905012,1.5537133707797963,0.016986659332284326,0.01740527104914502,0.02368745814360529
model,11,0.43769610497575195,22.117068710218202,0.234355263142,0.28923678544140075,0.6244242093528329,0.58143514,20.258993,0.23310496,0.26235133,0.45395133,72301,0.14373903897184936,1.8580755614144913,0.0012503040117128328,0.026885451346399525,0.1704728803599893
model,13,0.5999941807901789,20.88719749463347,0.327238116057202,0.3878580029784979,0.6230556711655688,0.6999377,19.408997,0.30825895,0.37106785,0.69473225,8656,0.0999435204351019,1.4782009126022189,0.018979165346905358,0.01679015119665278,0.07167657761754276
model,8,0.9953990267195968,4.102231926629415,0.24684890884695138,0.2763264390480937,0.5947721788288072,0.99189395,2.958586,0.3242428,0.39422894,0.7152921,71597,0.00350507959511559,1.1436459490750934,0.0773938916272155,0.11790249619360554,0.12051991730919331
model,12,0.27984016630542924,27.436335980187796,0.6884499064603014,0.6898428395768323,0.14602218236417616,0.17833596,27.576347,0.8260057,0.82681197,0.10525237,105690,0.10150420162571122,0.14001137088642324,0.13755579079006486,0.13696912970341057,0.040769812125872024
model,19,0.5948181643743563,24.511561250518902,0.28620803936838296,0.2912535797452617,0.2811407634075106,0.44525677,25.671879,0.3178487,0.32355633,0.26838478,84681,0.1495613947172213,1.1603175641783636,0.03164067283750388,0.03230275403502697,0.012755978947442848
model,16,0.9721500886438901,4.782986563223716,0.32024344239128283,0.3388216517545734,0.4245671162577442,0.97950435,3.3362637,0.2791093,0.30948865,0.4676934,100831,0.007354258203644104,1.446722906607505,0.04113414320839098,0.02933299761791569,0.04312627220432247
model,22,0.0819509517003316,26.129869587703087,0.40222259498165386,0.40894494280913385,0.2628033771965778,0.14017388,27.405123,0.50211406,0.5138985,0.28082356,23074,0.05822293054568585,1.2752531692549205,0.0998914625592397,0.10495354905030219,0.018020181372376654
model,21,0.9309753181574976,12.746441263931452,0.1808491785852721,0.18955060695296347,0.40472225546579566,0.90898746,11.489827,0.19924553,0.2113309,0.39048547,123859,0.0219878556368982,1.2566141078645572,0.018396348801393236,0.021780298603715303,0.014236789939214844
model,17,0.7911874214508845,21.61176983903165,0.40049660587864844,0.40726446764690927,0.2597693743553406,0.8213266,20.952593,0.45154494,0.46469358,0.2972435,116679,0.030139191975323998,0.6591769893002031,0.05104833459300073,0.057429108450579136,0.037474131360983265
model,18,0.023515318131799606,28.59914029719575,0.4993809370965347,0.508899358211072,0.19908393053963486,0.07165852,30.52825,0.41275868,0.42202425,0.2335222,101305,0.04814320375884065,1.9291094434048368,0.08662225889867398,0.08687510818055444,0.03443827600524124
model,20,0.17944838792799403,25.144811531444418,0.4499981135754518,0.45392109447791346,0.18377908358379189,0.11241332,27.629997,0.3617695,0.36447397,0.1772296,29614,0.06703507096289088,2.4851857219735507,0.08822861618089001,0.0894471257336355,0.006549485419233475
model,23,0.8960729010186016,11.393790710858113,0.2337485258755685,0.24101079298692293,0.3131399407918077,0.96750814,10.810547,0.21717158,0.2430961,0.46855432,39388,0.07143523620750314,0.5832438358581129,0.016576946276187998,0.002085305316871927,0.1554143771593947
model,28,0.9034394834346335,16.620237173911534,0.19477275421427998,0.20742605459671107,0.3819012556889307,0.85911524,20.116085,0.22340457,0.23826282,0.37446204,966,0.04432424047656469,3.495847878578701,0.02863181719971386,0.030836762666892142,0.007439217410350973
model,24,0.5315528570871891,15.689718651452907,0.30271638499084025,0.3251048366523303,0.5100110941749436,0.57894224,12.69378,0.24781907,0.27554154,0.46762252,43478,0.047389382197326246,2.9959387060793716,0.05489731894317179,0.04956329269175902,0.0423885756355149
model,29,0.9820454502377954,9.778506736477667,0.29101853886521706,0.29326537343229897,0.19168869866450922,0.95448196,11.806327,0.35742295,0.362317,0.25927675,64630,0.027563490894838893,2.027820129672236,0.0664044090183889,0.06905162242684715,0.06758804903904303
model,25,0.20261768364777386,27.55249119341698,0.29954489024462194,0.31344486866421745,0.34393956730084896,0.14926344,27.982382,0.34924078,0.36339417,0.30188543,20356,0.05335424208512127,0.4298906272617309,0.04969588963208704,0.04994930233530953,0.04205414125638485
model,32,0.20663589249716144,28.63811591505014,0.4368124542996054,0.44333704227381876,0.28411384696465913,0.4251765,26.881758,0.34101763,0.3654213,0.4346095,53973,0.21854060877694745,1.756358178844085,0.09579482062307648,0.07791574710780313,0.15049565558928069
model,30,0.9800534821397382,7.3388729544021984,0.5633954643766435,0.5662792764984699,0.16491104630975806,0.95581746,7.8988957,0.5376967,0.5409289,0.19346185,54231,0.02423602112594425,0.5600227861068348,0.025698745207026752,0.025350376256618068,0.028550803975772032
model,27,0.9617639103553948,5.0497351333613665,0.23047598487127105,0.23935994800174307,0.28617947005909883,0.83776194,10.556422,0.49969897,0.5153278,0.32517964,107466,0.12400197178346484,5.5066871002201765,0.2692229818702908,0.2759678632394068,0.039000166419325244
model,26,0.08262546958948493,25.9989072624707,0.19137020013946293,0.23298189986543644,0.5469286903045387,0.17486508,27.49588,0.2087741,0.24231182,0.4174216,16026,0.09223961231683374,1.4969728644824265,0.017403904574930684,0.009329920522403834,0.12950708114125442
model,36,0.845296206115805,17.872036269809506,0.24069951767850778,0.24668750912269116,0.3105801691210726,0.74816424,20.599714,0.2153853,0.22379883,0.30053902,438,0.09713196957024228,2.727678009365299,0.025314214777239774,0.022888682785830505,0.010041152397439801
model,34,0.8803832610689633,7.772417656385969,0.30563416431615564,0.30850810242519716,0.15476123563816205,0.7910845,8.753873,0.32675344,0.330872,0.18104318,33369,0.0892987330996029,0.9814552150129572,0.021119273202917843,0.022363896838566266,0.026281942204931824
model,35,0.8296300978264539,15.592226984620794,0.25957832597219516,0.2737149491624985,0.34077317537624435,0.9604588,10.726496,0.26803547,0.27506015,0.2394322,107298,0.13082871727135492,4.865731241822942,0.008457145467166416,0.0013451978845443469,0.10134097458679275
model,38,0.9060182614219041,10.103164555039996,0.21154231716299485,0.21894824257773005,0.26272339501208014,0.9171716,11.977125,0.21092434,0.21796142,0.2701651,7605,0.011153336058869812,1.873960612806684,0.0006179748883290148,0.0009868269292696574,0.007441690780461363
model,39,0.81569536104039,17.632207952922258,0.36548325200334447,0.3702592353281453,0.26731835400486464,0.8091837,16.048763,0.35426044,0.35733542,0.22742453,15555,0.00651164426640316,1.5834446777757734,0.01122280736223119,0.012923816865392013,0.03989382182980056
model,31,0.8890251829843583,16.42290662503794,0.24369572786176033,0.26091441566347223,0.44679384849889786,0.8265191,18.020243,0.25307313,0.26497865,0.3731522,88946,0.06250611092854164,1.5973360660021,0.009377398215891647,0.004064231568583432,0.07364165209157975
model,40,0.5607468560779855,24.030990568256655,0.7558482921452101,0.7654838734758925,0.29871431153450756,0.4872733,24.499378,0.6528329,0.65993994,0.2622686,79003,0.07347355042345971,0.468387636089048,0.10301536682553847,0.10554392873178242,0.03644570868645458
model,33,0.5322145170555216,25.29050964668718,0.4403344105911927,0.4412771998626141,0.12348075695355513,0.26906386,29.479458,0.47149256,0.47205588,0.08023107,3780,0.2631506568775278,4.188948208537429,0.031158148126534946,0.030778682352885778,0.04324968643506148
model,37,0.8938239837983242,18.200200557501464,0.3973136229632444,0.40793844220685754,0.33193600379938365,0.7057752,20.88893,0.33743313,0.378856,0.4793313,114877,0.18804878247767598,2.6887288095639654,0.05988049341421792,0.029082438922403198,0.14739531076436757
model,45,0.931256451906276,6.565929420845535,0.3013912073958891,0.30654126203306814,0.24103582490038833,0.92296517,8.217064,0.28740525,0.2927139,0.24605627,86386,0.008291282953334145,1.6511344829630588,0.013985954939224055,0.013827351691805323,0.005020448679209144
model,44,0.6941973404153556,20.25095424046769,0.2013772661220709,0.20720733213503398,0.3564381359876067,0.71210027,20.609009,0.20744209,0.21471155,0.3618089,14756,0.017902926994922685,0.35805454859481145,0.006064823793204666,0.0075042147628542055,0.005370760077151593
model,46,0.9935439219255037,6.015563337195822,0.17887661136321537,0.19370540027188848,0.5210241949856108,0.99411213,5.7093306,0.18793839,0.21306454,0.569427,62112,0.000568212054293693,0.30623277841896623,0.009061780799107633,0.019359136180404912,0.048402818411605986
model,41,0.14760336498035015,29.084005042666302,0.24586970711769968,0.25232905960625224,0.27800304621261746,0.3272198,28.572351,0.2764688,0.29257074,0.33818063,21133,0.17961644908176838,0.5116535869778254,0.030599106301642365,0.04024168037826009,0.06017758518653721
model,47,0.23285527091161096,25.35452242641111,0.26699354137227455,0.27001597586162246,0.21781854302392578,0.39657944,25.758356,0.29651713,0.3012383,0.23993585,90336,0.1637241734968058,0.40383366794924314,0.02952359234049401,0.031222322554515236,0.022117302112716675
model,42,0.4441802590665553,17.319693259153524,0.25978633895463055,0.2675493164003837,0.2631972709665595,0.6676844,17.194998,0.35203397,0.3696623,0.32533953,13497,0.22350411717322133,0.12469547167793849,0.09224763378554279,0.1021129982530129,0.062142254971474575
model,43,0.2058929882333276,22.167773852916593,0.23510169571852224,0.24223690673593704,0.27594932623731977,0.20223852,26.457943,0.3336268,0.35060653,0.35357392,138175,0.003654473213910797,4.2901691097298915,0.09852511101747019,0.10836962416883286,0.07762459210527056
model,50,0.9784632022898956,8.174796742399941,0.36081435238858395,0.36721216945356167,0.2787022356787138,0.9519933,8.143304,0.39042464,0.4010223,0.33748624,54029,0.026469915680245926,0.031492871245156095,0.029610286598003577,0.03381011576944554,0.058784001608807535
model,49,0.3113189909595504,24.299277318500035,0.29238679036650944,0.3033614482575611,0.33403128690694833,0.23206739,27.365128,0.27865744,0.3234331,0.52623135,71595,0.07925159968319084,3.0658502449765273,0.013729353995659832,0.02007165291965446,0.19220006160760855
model,51,0.11137604926334752,25.680538918713893,0.2983547106487923,0.3160467178022269,0.4099633969920021,0.15314956,25.967892,0.29575887,0.309474,0.3785461,126241,0.041773510830532185,0.28735277440134155,0.0025958374245338978,0.006572726408183904,0.031417308058057425
model,53,0.9271263376447647,14.682335425334102,0.19192779433146875,0.206227268334996,0.5067703837900935,0.9128947,15.74081,0.22438486,0.25013077,0.50879335,118408,0.014231611845204162,1.058474968953007,0.03245706487282354,0.04390350425564121,0.002022970244330291
