metric,model_mae,random_mae,delta_model_minus_random,mae_reduction_fraction,model_better_fraction,paired_t_stat_less,paired_t_p_less
eta,0.07860448531079471,0.34106155422247597,-0.2624570689116813,0.7695299152377619,0.85,-30.524471492645574,2.1004749470621875e-145
tau_transfer,1.962207016842587,7.81631188311021,-5.854104866267623,0.7489599895466557,0.845,-29.59819137296011,4.769456065391546e-139
ipr,0.0319693888524417,0.1349237933845364,-0.10295440453209466,0.7630559588453899,0.827,-23.323023264602128,1.061557150263584e-96
purity,0.03426375891358576,0.1312479275209991,-0.09698416860741334,0.7389386669888276,0.811,-22.323940748052294,3.5220694851239923e-90
c_l1,0.051327101650647154,0.1685578041998683,-0.11723070254922115,0.695492582533967,0.814,-26.807151157443112,5.322162204472107e-120
