target_id,eta,tau_transfer,ipr,purity,c_l1,dataset_index
359,0.44597816,22.952667,0.237915,0.25834075,0.5683225,105897
360,0.5793359,17.706892,0.2956425,0.2972913,0.1402211,22583
361,0.98255837,7.8438067,0.18648213,0.24216722,0.7846514,120835
362,0.46006468,21.037758,0.65144384,0.65235484,0.09922745,56385
363,0.9875173,8.657264,0.34454933,0.35175616,0.30301982,48010
364,0.9755411,2.7574332,0.2956459,0.34374234,0.49602807,108455
365,0.8077846,20.378887,0.5749483,0.57677805,0.14658864,16621
366,0.93529975,12.992382,0.24704927,0.25915724,0.42993608,108201
367,0.92506063,13.249135,0.25135317,0.26898745,0.38612136,133681
368,0.6203297,18.492188,0.28353617,0.2937061,0.35993224,11630
369,0.8571819,12.492165,0.31600344,0.32022804,0.21154135,130214
370,0.9339273,17.456198,0.42965928,0.43965527,0.32727706,106179
371,0.2407927,26.25108,0.3181193,0.32604605,0.24647482,8272
372,0.8176798,19.57138,0.3682184,0.3701209,0.20028445,133477
373,0.987361,7.2971435,0.21352538,0.24780773,0.5999285,126941
374,0.9808278,7.200929,0.20095976,0.22564816,0.54885876,71400
375,0.59236413,23.570591,0.21439296,0.21860562,0.21576987,8588
376,0.9458337,11.176071,0.27157214,0.28455418,0.38199484,58924
377,0.14953674,26.999628,0.3190921,0.32509002,0.2537565,118268
378,0.4083557,27.730673,0.62580574,0.6269689,0.1202478,69853
379,0.6601562,17.456558,0.30393577,0.3102106,0.3070319,60645
380,0.9271995,15.929985,0.1846433,0.20985167,0.47504967,95234
381,0.9513495,11.320383,0.20829318,0.23389399,0.65823007,63921
382,0.8447194,18.86852,0.21774314,0.22505257,0.26045832,70346
383,0.24552983,25.506907,0.21609637,0.22993435,0.42299077,35981
384,0.5492954,23.574694,0.33636335,0.34518835,0.3267265,40051
385,0.8622392,14.423808,0.21883625,0.22360179,0.25654277,13204
386,0.9674413,12.634002,0.37697485,0.3875173,0.42318583,75824
387,0.097547434,29.821735,0.620935,0.6225348,0.12945186,20307
388,0.81373644,21.91906,0.23652063,0.24086946,0.23290618,110524
389,0.69142824,22.646313,0.3010357,0.3124578,0.27880985,119881
390,0.21227527,23.496109,0.35338318,0.36563972,0.32119486,77427
391,0.609456,19.936169,0.2263238,0.23711468,0.2691413,107529
392,0.8510731,15.85611,0.24815091,0.27998236,0.51524407,68428
393,0.98240215,5.504512,0.22059989,0.23708025,0.4140505,120665
394,0.5896801,16.736021,0.23207158,0.25690183,0.40174028,97373
395,0.88869727,17.067566,0.29308587,0.3328983,0.4433532,8208
396,0.9302492,14.864946,0.32705274,0.33495492,0.29526386,102313
397,0.096419446,23.234922,0.21608031,0.24044994,0.41493818,86117
398,0.6928712,20.031834,0.26634645,0.2728888,0.28505608,82604
399,0.14974362,25.273773,0.3341477,0.3377355,0.17705144,25424
400,0.55196285,22.751373,0.205083,0.27379757,0.6702842,118671
401,0.8926292,8.369392,0.23620242,0.24258825,0.25611493,84745
402,0.3703981,16.534481,0.25760466,0.26832104,0.32386884,63618
403,0.5058872,15.117291,0.2760435,0.2921941,0.34754685,33526
404,0.22564398,26.173058,0.39538223,0.39713076,0.16294678,70761
405,0.025165962,25.53785,0.20723885,0.26105285,0.8069689,71767
