metric,model_mae,random_mae,delta_model_minus_random,mae_reduction_fraction,model_better_fraction,paired_t_stat_less,paired_t_p_less
eta,0.0978456988225181,0.34106155422247597,-0.24321585539995785,0.713114252805249,0.819,-28.115582856031615,6.653684301245739e-129
tau_transfer,2.4979693999631922,7.81631188311021,-5.318342483147018,0.6804158486356076,0.808,-26.679830746046292,3.882175389110109e-119
ipr,0.04981070995469605,0.1349237933845364,-0.08511308342984032,0.6308233803304492,0.769,-19.283436112527276,5.4892858583005126e-71
purity,0.05168984284650925,0.1312479275209991,-0.07955808467448984,0.6061664071743982,0.731,-18.3800678885178,1.6100788265951396e-65
c_l1,0.041854316493064384,0.1685578041998683,-0.12670348770680392,0.751691612905473,0.863,-29.165725096913476,4.386702374024812e-136
