method,target_id,eta,tau_transfer,ipr,purity,c_l1,target_eta,target_tau_transfer,target_ipr,target_purity,target_c_l1,dataset_index,abs_err_eta,abs_err_tau_transfer,abs_err_ipr,abs_err_purity,abs_err_c_l1
model,0,0.4338602337605027,23.380457985343817,0.2087565802895868,0.22149268455815943,0.4849335364476585,0.7584671,13.679777,0.24725586,0.26755,0.47606024,33458,0.32460684444842064,9.700680839958075,0.038499281469598995,0.046057307049506585,0.008873294986858349
model,1,0.1377888505166218,28.874265667956973,0.751274209530358,0.751914705913645,0.09770250500154425,0.19029836,29.206373,0.668512,0.67043525,0.12942995,74123,0.05250951304977683,0.332107546764707,0.08276222279787504,0.08147945610819451,0.03172744630861353
model,2,0.10558989610151458,21.665869361634563,0.20402473406866561,0.22178272700251495,0.44464192121384183,0.27761433,16.832853,0.26614442,0.30238298,0.5041054,57950,0.1720244291834433,4.833016044373821,0.06211969060822953,0.08060024881421174,0.05946346790435275
model,4,0.9488006490714268,6.095475452746825,0.29156889374822553,0.3072309428139098,0.3889222773151963,0.9542749,7.8531504,0.23684888,0.24990356,0.3851833,16005,0.005474243735580031,1.757674914989991,0.05472001786798414,0.05732738312915636,0.0037389727669327466
model,3,0.6928619269338862,21.08481741626479,0.2305288433656607,0.23569729749604937,0.32471930543488514,0.8215711,20.109015,0.26017472,0.27023384,0.29238144,132514,0.128709184745191,0.9758029051563923,0.029645878113755186,0.03453654225424055,0.03233786980217945
model,7,0.9803544748533995,5.69028143994138,0.22887588474442458,0.24184414781783506,0.3410201203158429,0.9816332,5.389304,0.2285614,0.24210514,0.4024908,3648,0.0012787114869324823,0.30097727886960257,0.0003144833772370792,0.000260993464246545,0.061470674342818
model,8,0.9951804060939803,4.115034396936949,0.2387670721609947,0.26293847618639105,0.5777185990731946,0.99189395,2.958586,0.3242428,0.39422894,0.7152921,71597,0.0032864589694990842,1.1564484193826274,0.08547572831317218,0.13129045905530817,0.13757349706480593
model,5,0.9066699827903018,15.234148944978543,0.2566164317157571,0.26832742366500195,0.4944547486717784,0.8926104,17.333122,0.20670004,0.21893375,0.43974382,117269,0.014059611677478268,2.098973308439426,0.04991638982561275,0.049393677446320616,0.05471093181920883
model,9,0.9632308253862483,13.082593441191158,0.2635868322181823,0.2698112879690029,0.3677001515007236,0.9380948,15.09445,0.21274278,0.22207873,0.37097368,15184,0.025136030636034645,2.0118565557570847,0.050844056539547655,0.04773256227339284,0.0032735249423763713
model,6,0.9186876557034039,5.443831979153856,0.2709428041518882,0.2838691235561916,0.34067873302065427,0.9328691,6.2080483,0.2524332,0.26191923,0.3260561,79622,0.014181421025416863,0.7642163645045912,0.018509593540544822,0.021949893333489567,0.014622640043130464
model,12,0.38937480598482715,25.98661786545477,0.7991419347625284,0.8012581291595033,0.15291225306569892,0.17833596,27.576347,0.8260057,0.82681197,0.10525237,105690,0.21103884130510914,1.589729485619447,0.02686376248783784,0.02555384012073958,0.04765988282739478
model,11,0.4265712032751854,23.03829907313996,0.23810983027895496,0.29896182291625695,0.6392491864005824,0.58143514,20.258993,0.23310496,0.26235133,0.45395133,72301,0.15486394067241593,2.7793059243362492,0.005004871148667794,0.03661048882125573,0.18529785740773874
model,14,0.5545032317150609,20.331181902039642,0.21708358091507185,0.23337558628863672,0.46056375518108633,0.56644064,22.261204,0.2002014,0.22082578,0.4909403,56719,0.011937410164974516,1.9300218638294986,0.016882173840143566,0.012549809830850162,0.030376547429311007
model,13,0.7725074493183447,18.198343678365493,0.30544203470368037,0.36259285205303443,0.5834281298920603,0.6999377,19.408997,0.30825895,0.37106785,0.69473225,8656,0.07256974809306393,1.210652903665757,0.0028169160066162657,0.008474999728810662,0.1113041188910513
model,15,0.8252888610357335,18.323834001229788,0.4205977599998565,0.4256850045791525,0.2770034361761803,0.8357882,15.258431,0.35309833,0.35740274,0.2472404,6689,0.010499329329104135,3.06540256659844,0.067499427117929,0.06828226267012538,0.029763041822313707
model,10,0.3779139764686992,17.141605833697774,0.23642829017975042,0.2614191458094635,0.4694791276133345,0.3533679,15.903919,0.26431936,0.2954089,0.5033014,116513,0.02454608158077498,1.237686613727071,0.027891070076444646,0.0339897587429962,0.033822254451484846
model,16,0.9775024581339499,5.821435420156945,0.26494298716295556,0.283993172826647,0.4101291881974857,0.97950435,3.3362637,0.2791093,0.30948865,0.4676934,100831,0.00200188871358431,2.485171763540734,0.014166312019936289,0.025495481310010726,0.05756420026458098
model,19,0.5198738853912398,25.927070809838813,0.33924321717119976,0.3474619100217827,0.33909445027385093,0.44525677,25.671879,0.3178487,0.32355633,0.26838478,84681,0.07461711573410479,0.2551919951415478,0.02139450496531292,0.02390557624149403,0.07070966581378318
model,17,0.9400223756133907,16.839735000463868,0.3128753385617615,0.3218321452249369,0.35178125021088136,0.8213266,20.952593,0.45154494,0.46469358,0.2972435,116679,0.11869576218718225,4.112857849267577,0.1386696019098877,0.1428614308725515,0.054537744494557505
model,18,0.3706225692193161,24.25062643974512,0.4533448748284272,0.4654677658694207,0.23510409581533429,0.07165852,30.52825,0.41275868,0.42202425,0.2335222,101305,0.2989640473286758,6.277623300855467,0.04058619663056651,0.0434435158389031,0.0015818892704581866
model,23,0.8812545667262287,11.185497695028971,0.2311320706187004,0.24014853035097264,0.35919593971210617,0.96750814,10.810547,0.21717158,0.2430961,0.46855432,39388,0.08625357049987603,0.37495082002897107,0.013960491019319898,0.002947567952822222,0.10935837823909622
model,20,0.17020653519162304,27.721747889314948,0.5024303339213472,0.5050307214776496,0.1474688389079702,0.11241332,27.629997,0.3617695,0.36447397,0.1772296,29614,0.057793218226519893,0.09175063589697885,0.1406608365267854,0.14055675273337165,0.02976075925658822
model,25,0.13529668492599595,24.444214398133724,0.3196925640414087,0.3273181109025226,0.2914424763966934,0.14926344,27.982382,0.34924078,0.36339417,0.30188543,20356,0.013966756636656641,3.538167422544987,0.029548215835300262,0.03607606009700437,0.010442949647770705
model,21,0.9067019080610796,12.69443822610014,0.2024678326543395,0.2120512213435794,0.3682028533781716,0.90898746,11.489827,0.19924553,0.2113309,0.39048547,123859,0.002285554459519723,1.2046110700332449,0.0032223052676741692,0.0007203157869006271,0.02228261214840921
model,27,0.8961926856070234,13.55293332663279,0.6828411868393035,0.7315427516072497,0.43063429507766793,0.83776194,10.556422,0.49969897,0.5153278,0.32517964,107466,0.05843074703509343,2.9965110930512466,0.18314222009774161,0.21621494036609978,0.10545465859924386
model,22,0.11973008047704296,24.319578757802507,0.2586320041413533,0.2663523960250254,0.29052779661669276,0.14017388,27.405123,0.50211406,0.5138985,0.28082356,23074,0.020443801768974493,3.085543999155501,0.24348205339954027,0.24754609583441062,0.00970423804773829
model,29,0.9444963179644995,15.022032674317813,0.46937104925835327,0.475016994902449,0.27001324195982845,0.95448196,11.806327,0.35742295,0.362317,0.25927675,64630,0.009985641378457033,3.215705808167911,0.11194810137474731,0.11269999904330286,0.010736494256276208
model,24,0.7434460757619344,10.913278521817801,0.28168721908100885,0.3018707409905977,0.4547109998435688,0.57894224,12.69378,0.24781907,0.27554154,0.46762252,43478,0.16450383647741906,1.7805014235557337,0.0338681530333404,0.026329197030026397,0.012911518695859936
model,26,0.14643147185616656,25.58923428552447,0.20301063134003206,0.24997714317347763,0.5744301780323774,0.17486508,27.49588,0.2087741,0.24231182,0.4174216,16026,0.028433610050152103,1.9066458414286558,0.005763473374361561,0.007665322785637363,0.1570085688690931
model,30,0.9260746229607489,9.454324782599144,0.4680260907395009,0.4728768407833317,0.17880034775677592,0.95581746,7.8988957,0.5376967,0.5409289,0.19346185,54231,0.029742838053045006,1.5554290420901111,0.06967062843011579,0.06805205945852011,0.014661502528754172
model,31,0.8287136752253784,18.86007788206913,0.27372669893806373,0.29363973308615066,0.40332282774159095,0.8265191,18.020243,0.25307313,0.26497865,0.3731522,88946,0.0021946031695617707,0.839835191029092,0.02065357286041175,0.028661085854094992,0.030170631334272835
model,34,0.8866576827535245,10.935065058579,0.27150308683063235,0.274033380905494,0.15425314787426983,0.7910845,8.753873,0.32675344,0.330872,0.18104318,33369,0.09557315478416417,2.1811921871800735,0.05525035068844114,0.05683861835826942,0.026790029968824042
model,28,0.7561297818941244,19.070281423317788,0.24716549172990834,0.2641209222919415,0.4365472372285659,0.85911524,20.116085,0.22340457,0.23826282,0.37446204,966,0.10298546106394446,1.0458036291724468,0.023760920315914508,0.025858105028338296,0.06208519894998621
model,33,0.27771899472501776,28.29641610689245,0.6495217498239292,0.6504908616839146,0.1145893175568421,0.26906386,29.479458,0.47149256,0.47205588,0.08023107,3780,0.00865513454702399,1.1830417483321582,0.17802919110620152,0.1784349794684147,0.034358247038348444
model,32,0.3227360451661104,24.392751719231573,0.3983111359980527,0.4056471233932971,0.2805576856663293,0.4251765,26.881758,0.34101763,0.3654213,0.4346095,53973,0.10244045610799851,2.489006016974482,0.05729350232152375,0.04022582822728149,0.1540518168876105
model,35,0.7775542354910742,21.702174540588267,0.23533920244173215,0.24724573722647622,0.31330102829071294,0.9604588,10.726496,0.26803547,0.27506015,0.2394322,107298,0.18290457960673467,10.975678797790415,0.032696268997629424,0.027814409820566627,0.07386882750126134
model,38,0.8973454000563122,12.446529800686285,0.2112919964509958,0.22128531152808326,0.3105954776900174,0.9171716,11.977125,0.21092434,0.21796142,0.2701651,7605,0.019826197424461678,0.46940463283960554,0.00036765417632997344,0.003323895879622868,0.04043039189747588
model,39,0.8362683985590676,19.615788995653293,0.40345140436262195,0.40678510093430836,0.23038045628005685,0.8091837,16.048763,0.35426044,0.35733542,0.22742453,15555,0.027084681785080833,3.567025720506809,0.049190959721508665,0.04944968247155507,0.002955924104992763
model,42,0.7229048639406402,15.948028704803683,0.34446045365707934,0.3681923008729646,0.40892849342133364,0.6676844,17.194998,0.35203397,0.3696623,0.32533953,13497,0.05522048770086363,1.246969082671903,0.007573519083094005,0.001470013780431989,0.08358896748329958
model,43,0.26331085076159266,25.78564107954574,0.4385883687755072,0.4530575133335215,0.3350186546235389,0.20223852,26.457943,0.3336268,0.35060653,0.35357392,138175,0.061072335742175854,0.6723018831007437,0.10496156203951479,0.10245098242875161,0.018555263719051418
model,41,0.7866367880469451,16.17608499489726,0.2077690306628465,0.22310028122861847,0.40465223744942197,0.3272198,28.572351,0.2764688,0.29257074,0.33818063,21133,0.4594169739848266,12.396266460791217,0.06869978275649555,0.06947045875589386,0.0664716060502673
model,36,0.6555137116970667,24.526415671137627,0.21065341344212066,0.2166734705223857,0.2697188601404934,0.74816424,20.599714,0.2153853,0.22379883,0.30053902,438,0.09265052484849601,3.9267013919628226,0.004731889459147348,0.00712535581447496,0.030820156583139413
model,37,0.8963983326283071,14.644842006438324,0.2688103276284249,0.29670311479458716,0.40273422065366904,0.7057752,20.88893,0.33743313,0.378856,0.4793313,114877,0.19062313130765896,6.2440873606271055,0.0686228019206016,0.08215288848986718,0.07659709391008218
model,44,0.7952702802388242,19.432627220077187,0.20757346629089088,0.21404544379190207,0.3410855853884535,0.71210027,20.609009,0.20744209,0.21471155,0.3618089,14756,0.08317001282854586,1.1763815689853132,0.00013137637561530524,0.00066610310598611,0.020723310676304785
model,40,0.7151762118692215,22.386657279425734,0.44325474723372793,0.4509076398996091,0.28798193786781634,0.4872733,24.499378,0.6528329,0.65993994,0.2622686,79003,0.22790290621469578,2.1127209249199694,0.2095781780859437,0.20903230484450103,0.02571333501976336
model,49,0.06903625507831868,26.770620608675227,0.29210338870327573,0.3091049750356841,0.41197903202434244,0.23206739,27.365128,0.27865744,0.3234331,0.52623135,71595,0.16303113619804088,0.5945069548013358,0.013445952332426125,0.01432812614153145,0.11425231649021445
model,48,0.1345496970534244,26.442713784167463,0.2122813112096731,0.2176627698627011,0.27816045937610506,0.3051758,22.778698,0.20980999,0.21571718,0.2750041,26553,0.170626113998898,3.664015816638166,0.0024713224725667893,0.0019455882993237306,0.0031563704974734708
model,50,0.9663358665366286,8.842694980966236,0.3953209606228326,0.40895456114820306,0.32203333016120905,0.9519933,8.143304,0.39042464,0.4010223,0.33748624,54029,0.01434257992697896,0.6993911098114509,0.004896321636245093,0.007932275925195853,0.01545290712631231
model,46,0.9947872842258315,5.188177918900543,0.17911167628566024,0.20044893283573037,0.5634142103893245,0.99411213,5.7093306,0.18793839,0.21306454,0.569427,62112,0.0006751502460341507,0.5211526398763127,0.008826715876662755,0.012615603616563026,0.006012803007892309
model,53,0.9270030183377997,14.576103248442799,0.21817287806456398,0.24343480876133555,0.5944632459940634,0.9128947,15.74081,0.22438486,0.25013077,0.50879335,118408,0.014108292538239198,1.1647071458443108,0.0062119811397283176,0.006695963829301654,0.08566989195963959
model,47,0.2895816585055694,25.933103150852425,0.27637242470171614,0.28019232056449317,0.23907576012979176,0.39657944,25.758356,0.29651713,0.3012383,0.23993585,90336,0.10699778590284736,0.17474705649207323,0.02014470901105242,0.021045977851644526,0.0008600850068506971
model,45,0.9307399200412669,6.813575788408521,0.2617017001324001,0.26545907671727603,0.23004090088942006,0.92296517,8.217064,0.28740525,0.2927139,0.24605627,86386,0.007774751088325038,1.403488115400073,0.025703552324264967,0.027254833623986785,0.016015372690177415
model,57,0.1205704885477638,27.007007650960954,0.2840289731021285,0.2869657403712939,0.2174460991948861,0.08381365,29.16065,0.30132908,0.3048634,0.21369682,89584,0.03675683615156171,2.153642602334944,0.017300103188002125,0.01789765293543827,0.0037492766708153713
model,52,0.6599424035482484,21.6983087839978,0.24418156755700046,0.27099026139814564,0.46379295946434906,0.6138185,23.328236,0.32066396,0.370717,0.6176781,48181,0.04612387728024303,1.629926842222904,0.07648239123091763,0.09972672764222912,0.15388514636679718
model,55,0.17003031611791175,25.102427756237294,0.34855830049692643,0.35339654643559865,0.25291960197347624,0.1713736,24.089294,0.33033255,0.33302355,0.22643408,77211,0.0013432896102376635,1.0131333226435437,0.018225753070702677,0.020372998309377943,0.026485520180644817
model,56,0.9891183670378111,8.37973257071561,0.17208024789917784,0.19356192208551576,0.5995293457773444,0.928411,12.686552,0.2703113,0.30094028,0.54258186,24993,0.06070736011032085,4.306819477013882,0.0982310480869977,0.10737835310674498,0.05694748952658146
model,51,0.1259229154555529,20.623613633597774,0.3004900531716375,0.3144660286727916,0.3510623243623207,0.15314956,25.967892,0.29575887,0.309474,0.3785461,126241,0.027226644638326802,5.34427805951746,0.004731179947379094,0.00499203727874864,0.027483764571623992
