metric,model_mae,random_mae,nearest_neighbor_mae,delta_model_minus_nn,delta_nn_minus_random,model_reduction_vs_nn,nn_reduction_vs_random,model_better_fraction_vs_nn,nn_better_fraction_vs_random,model_vs_nn_paired_t_stat_less,model_vs_nn_paired_t_p_less,nn_vs_random_paired_t_stat_less,nn_vs_random_paired_t_p_less
eta,0.09274203134018778,0.3410615542224759,0.03473498337067029,0.058007047969517486,-0.30632657085180565,-1.66998922528628,0.8981562625847518,0.295,0.937,18.225251142556015,1.0,-38.19546239817615,8.141746811788042e-198
tau_transfer,2.284522725139158,7.81631188311021,1.1974672617363769,1.087055463402781,-6.618844621373832,-0.9077955599608678,0.8467989405177254,0.353,0.905,14.2629558894643,1.0,-35.04599139826397,2.0185822896351725e-176
ipr,0.045833084687785255,0.13492379338453633,0.02485022388305218,0.020982860804733074,-0.11007356950148414,-0.8443731092114368,0.8158202992986686,0.392,0.844,12.098906012348964,1.0,-24.719543208732105,5.978716783642972e-106
purity,0.0486588380441249,0.13124792752099904,0.026344425879280015,0.022314412164844886,-0.10490350164171904,-0.8470259426832016,0.7992773952558981,0.387,0.834,12.679140367269332,1.0,-24.078168841732317,1.101833799133835e-101
c_l1,0.04242275501584541,0.16855780419986827,0.040625958180920206,0.0017967968349252071,-0.12793184601894805,-0.044227802010810446,0.7589790732397785,0.546,0.838,1.0538604987212592,0.8538991966871337,-28.362319655249035,1.3747248874839668e-130
