context,mean_model_mae,mean_nn_mae,mean_random_mae,mean_model_reduction_vs_nn,mean_model_better_vs_nn,mean_nn_reduction_vs_random
c5,0.5095270338753639,0.061106174305502706,1.7184205924876177,-7.831309314039087,0.10659999999999999,0.9663077135251573
c12,0.5478339936159958,0.3353388050482865,1.7184205924876177,-0.8793495166115257,0.37360000000000004,0.8244323209059603
c18,0.489409011892477,0.15396308826779564,1.7184205924876177,-2.1331677846164294,0.2576,0.9011726930146038
c25,0.5028358868454202,0.26480457061005985,1.7184205924876177,-0.8626823278305193,0.3946,0.8238063941793644
c26,0.413238044846013,0.2539606910122555,1.7184205924876177,-0.5505131136460883,0.422,0.8431985566176289
c33,0.43167435031401113,0.34812124879756334,1.7184205924876177,-0.21851632237319593,0.48900000000000005,0.7823151816237314
