run,context,metric,model_mae,random_mae,nearest_neighbor_mae,delta_model_minus_nn,delta_nn_minus_random,model_reduction_vs_nn,nn_reduction_vs_random,model_better_fraction_vs_nn,nn_better_fraction_vs_random,model_vs_nn_paired_t_stat_less,model_vs_nn_paired_t_p_less,nn_vs_random_paired_t_stat_less,nn_vs_random_paired_t_p_less
nsf_h27_c18_seed0,c18,tau_transfer,2.23219452647666,7.81631188311021,0.6998006330270446,1.5323938934496153,-7.116511250083165,-2.189757798333392,0.9104692029319864,0.217,0.944,21.99654944967424,1.0,-37.92497442467055,5.455580485585069e-196
nsf_h27_c18_seed0,c18,ipr,0.0430573649704626,0.1349237933845363,0.0138507191892387,0.0292066457812239,-0.1210730741952976,-2.1086735917594823,0.8973441315145669,0.249,0.915,19.53269470034305,1.0,-27.006003939729705,2.381995919507896e-121
nsf_h27_c18_seed0,c18,purity,0.0456203344271253,0.131247927520999,0.0150609102598633,0.030559424167262,-0.1161870172611357,-2.029055590929427,0.8852483955797805,0.262,0.892,19.81341072656518,1.0,-26.3573491515935,5.9127354559669076e-117
nsf_h27_c18_seed0,c18,c_l1,0.0432307419856921,0.1685578041998682,0.0222227175075745,0.0210080244781176,-0.1463350866922937,-0.9453400319271072,0.8681596641990906,0.343,0.92,12.563899487513158,1.0,-32.68912646880308,2.8417051948491485e-160
nsf_h27_c25_seed0,c25,eta,0.0927420313401877,0.3410615542224759,0.0347349833706702,0.0580070479695174,-0.3063265708518056,-1.66998922528628,0.8981562625847518,0.295,0.937,18.22525114255601,1.0,-38.19546239817615,8.141746811788042e-198
nsf_h27_c25_seed0,c25,tau_transfer,2.284522725139158,7.81631188311021,1.1974672617363769,1.087055463402781,-6.618844621373832,-0.9077955599608678,0.8467989405177254,0.353,0.905,14.2629558894643,1.0,-35.04599139826397,2.0185822896351722e-176
nsf_h27_c25_seed0,c25,ipr,0.0458330846877852,0.1349237933845363,0.0248502238830521,0.020982860804733,-0.1100735695014841,-0.8443731092114368,0.8158202992986686,0.392,0.844,12.098906012348964,1.0,-24.719543208732105,5.978716783642972e-106
nsf_h27_c25_seed0,c25,purity,0.0486588380441249,0.131247927520999,0.02634442587928,0.0223144121648448,-0.104903501641719,-0.8470259426832016,0.7992773952558981,0.387,0.834,12.679140367269332,1.0,-24.07816884173232,1.101833799133835e-101
nsf_h27_c25_seed0,c25,c_l1,0.0424227550158454,0.1685578041998682,0.0406259581809202,0.0017967968349252,-0.127931846018948,-0.0442278020108104,0.7589790732397785,0.546,0.838,1.0538604987212592,0.8538991966871337,-28.362319655249035,1.374724887483967e-130
nsf_h27_c26_seed0,c26,eta,0.0733978766500489,0.3410615542224759,0.0468932654295382,0.0265046112205107,-0.2941682887929377,-0.5652114643271451,0.8625079114049028,0.43,0.914,9.159352368590268,1.0,-36.49228114828294,2.7989808473868738e-186
nsf_h27_c26_seed0,c26,tau_transfer,1.885404670890079,7.81631188311021,1.1481943892365465,0.7372102816535326,-6.668117493873664,-0.6420605156795063,0.8531027924157416,0.376,0.908,10.701798052190965,1.0,-35.31980687257362,2.722666377208404e-178
nsf_h27_c26_seed0,c26,ipr,0.0279283946357011,0.1349237933845363,0.016920662678403,0.0110077319572981,-0.1180031307061333,-0.6505496957485015,0.874590965359396,0.425,0.889,10.004326505380655,1.0,-26.04753180882168,7.3172038183431355e-115
nsf_h27_c26_seed0,c26,purity,0.0306590251560988,0.131247927520999,0.0185763057174127,0.0120827194386861,-0.1126716218035863,-0.6504371548622947,0.8584640072549669,0.426,0.864,10.460968016295702,1.0,-25.26625022470478,1.3174121194547045e-109
nsf_h27_c26_seed0,c26,c_l1,0.0488002568981372,0.1685578041998682,0.0392188319993772,0.0095814248987599,-0.1293389722004909,-0.2443067376129943,0.7673271066531374,0.453,0.846,5.044410136834941,0.9999997299237732,-28.841439931224176,7.281828320480004e-134
nsf_h27_c33_seed0,c33,eta,0.0786044853107946,0.3410615542224759,0.070868441742394,0.0077360435684006,-0.2701931124800819,-0.1091606274697141,0.7922121656193291,0.517,0.859,2.338909338204853,0.9902317545855022,-32.66416818120551,4.2163992287754143e-160
nsf_h27_c33_seed0,c33,tau_transfer,1.9622070168425867,7.81631188311021,1.5678172212967896,0.3943897955457972,-6.24849466181342,-0.2515534273947988,0.7994172642106836,0.445,0.863,5.360581904451503,0.9999999484840518,-32.1921710262014,7.351987673032394e-157
nsf_h27_c33_seed0,c33,ipr,0.0319693888524416,0.1349237933845363,0.0228288406497861,0.0091405482026555,-0.1120949527347501,-0.4003947612968745,0.8308019654863739,0.468,0.86,7.143967820403673,0.999999999999127,-25.28851988721424,9.340781190573109e-110
nsf_h27_c33_seed0,c33,purity,0.0342637589135857,0.131247927520999,0.0246840453090188,0.0095797136045668,-0.1065638822119802,-0.3880933406432656,0.8119281136453028,0.45,0.842,7.436054014966414,0.9999999999998884,-24.43686867586991,4.5709001505087113e-104
nsf_h27_c33_seed0,c33,c_l1,0.0513271016506471,0.1685578041998682,0.0544076949898283,-0.0030805933391812,-0.1141501092100399,0.0566205449386734,0.6772163991569675,0.565,0.798,-1.529072847893935,0.063281472022798,-25.97063667194788,2.415435588135422e-114
