method,target_id,eta,tau_transfer,ipr,purity,c_l1,target_eta,target_tau_transfer,target_ipr,target_purity,target_c_l1,dataset_index,abs_err_eta,abs_err_tau_transfer,abs_err_ipr,abs_err_purity,abs_err_c_l1
model,3,0.8158126037274481,20.430527031292005,0.21873113115026183,0.2267580989585265,0.3181059888331423,0.8215711,20.109015,0.26017472,0.27023384,0.29238144,132514,0.005758507951629022,0.32151252018360665,0.04144359032915407,0.04347574079176342,0.025724553200436595
model,1,0.17586003770343034,29.49805328549725,0.6731916706529376,0.6742206733920173,0.1108389188494642,0.19029836,29.206373,0.668512,0.67043525,0.12942995,74123,0.014438325862968282,0.2916800707755698,0.0046796839204547025,0.0037854235865668606,0.018591032460693574
model,0,0.8117987682284394,12.49944158234647,0.2428336344434173,0.2588804515865228,0.3903556293818507,0.7584671,13.679777,0.24725586,0.26755,0.47606024,33458,0.0533316900195161,1.1803355630392716,0.0044222273157684955,0.00866954002114323,0.08570461207894947
model,6,0.9530819955996254,6.840456906940531,0.22680599143219074,0.2301427305725322,0.21722881329934784,0.9328691,6.2080483,0.2524332,0.26191923,0.3260561,79622,0.020212918870804564,0.632408563282084,0.025627219179152644,0.03177649965016982,0.10882727967817596
model,4,0.9360369490750012,9.68401515764645,0.29815672918684344,0.3035247519935076,0.2549200099108712,0.9542749,7.8531504,0.23684888,0.24990356,0.3851833,16005,0.0182379437320056,1.8308647899096329,0.061307853306602045,0.05362119230875417,0.13026329463739234
model,2,0.33550181540775786,15.550314586511362,0.24622571320280714,0.2690094750099674,0.4049776273207332,0.27761433,16.832853,0.26614442,0.30238298,0.5041054,57950,0.05788749012279998,1.2825387307493799,0.019918711474087997,0.03337350080675927,0.09912776179746136
model,5,0.9088486517433512,17.459861347840693,0.22803793066977404,0.23747375831879886,0.4074383693668352,0.8926104,17.333122,0.20670004,0.21893375,0.43974382,117269,0.01623828063052768,0.12673909442272446,0.021337888779629693,0.01854001210011752,0.032305447485734384
model,9,0.9475148741246603,11.630979371969872,0.2161341616468846,0.22441184753244603,0.3482767345223933,0.9380948,15.09445,0.21274278,0.22207873,0.37097368,15184,0.009420079374446666,3.4634706249783704,0.003391385968249949,0.002333121836835983,0.022696941920706648
model,7,0.9653989373443645,4.435239757543769,0.2546521659643347,0.27038445588498977,0.4491846827347603,0.9816332,5.389304,0.2285614,0.24210514,0.4024908,3648,0.016234248995967482,0.9540644035280081,0.02609076459714721,0.028279314602908168,0.04669388807609942
model,12,0.33054361757127265,27.66920868971657,0.7349321761541631,0.7362780330756841,0.1597621515755049,0.17833596,27.576347,0.8260057,0.82681197,0.10525237,105690,0.15220765289155463,0.09286133864235069,0.09107352109620315,0.09053393620455885,0.054509781337200774
