metric,model_mae,random_mae,delta_model_minus_random,mae_reduction_fraction,model_better_fraction,paired_t_stat_less,paired_t_p_less
eta,0.07339787665004903,0.34106155422247597,-0.26766367757242693,0.7847958066766703,0.858,-31.138269301879262,1.2780792647742e-149
tau_transfer,1.885404670890079,7.81631188311021,-5.930907212220131,0.7587858955623131,0.851,-29.852532551433377,8.593251749633551e-141
ipr,0.027928394635701174,0.1349237933845364,-0.10699539874883518,0.7930061560298375,0.866,-24.497218973566522,1.812784688352342e-104
purity,0.03065902515609894,0.1312479275209991,-0.10058890236490015,0.7664037388232768,0.839,-23.4495196151517,1.5638580944663526e-97
c_l1,0.048800256898137315,0.1685578041998683,-0.11975754730173098,0.710483551148589,0.843,-27.93265361452428,1.177924892622785e-127
