method,target_id,dataset_index,neighbor_index,neighbor_context_distance,eta,target_eta,abs_err_eta,tau_transfer,target_tau_transfer,abs_err_tau_transfer,ipr,target_ipr,abs_err_ipr,purity,target_purity,abs_err_purity,c_l1,target_c_l1,abs_err_c_l1
nearest_neighbor_baseline,0,33458,56847,2.0604634284973145,0.9066786170005798,0.7584671,0.14821151700057988,14.35029411315918,13.679777,0.6705171131591801,0.22055627405643463,0.24725586,0.026699585943565363,0.2380276769399643,0.26755,0.029522323060035716,0.46488261222839355,0.47606024,0.011177627771606469
nearest_neighbor_baseline,1,74123,79295,1.0484040975570679,0.2725137770175934,0.19029836,0.08221541701759338,29.40785026550293,29.206373,0.20147726550293044,0.6927313208580017,0.668512,0.024219320858001714,0.6941303014755249,0.67043525,0.023695051475524864,0.1516292691230774,0.12942995,0.022199319123077405
nearest_neighbor_baseline,2,57950,70871,2.813286781311035,0.41863366961479187,0.27761433,0.14101933961479185,20.16769027709961,16.832853,3.3348372770996093,0.23085488379001617,0.26614442,0.03528953620998382,0.24354179203510284,0.30238298,0.05884118796489718,0.42897680401802063,0.5041054,0.0751285959819794
nearest_neighbor_baseline,3,132514,32929,2.1955878734588623,0.7136176824569702,0.8215711,0.10795341754302978,22.268314361572266,20.109015,2.159299361572266,0.25312891602516174,0.26017472,0.007045803974838283,0.2568580210208893,0.27023384,0.01337581897911072,0.22994308173656464,0.29238144,0.062438358263435356
nearest_neighbor_baseline,4,16005,36418,2.254807949066162,0.9665918946266174,0.9542749,0.012316994626617395,6.3806586265563965,7.8531504,1.4724917734436032,0.25538045167922974,0.23684888,0.018531571679229725,0.27182522416114807,0.24990356,0.021921664161148074,0.38504940271377563,0.3851833,0.00013389728622437147
nearest_neighbor_baseline,5,117269,101194,2.215047836303711,0.8130519390106201,0.8926104,0.07955846098937991,17.97901725769043,17.333122,0.6458952576904302,0.22143039107322693,0.20670004,0.014730351073226927,0.23377490043640137,0.21893375,0.014841150436401357,0.44019389152526855,0.43974382,0.0004500715252685472
nearest_neighbor_baseline,6,79622,134210,1.5953269004821777,0.9245330095291138,0.9328691,0.008336090470886237,4.82484769821167,6.2080483,1.3832006017883298,0.27374082803726196,0.2524332,0.02130762803726194,0.2899962365627289,0.26191923,0.02807700656272888,0.2777235507965088,0.3260561,0.048332549203491226
nearest_neighbor_baseline,7,3648,33053,1.5538654327392578,0.9830248355865479,0.9816332,0.001391635586547868,5.42941427230835,5.389304,0.040110272308349515,0.2379731684923172,0.2285614,0.009411768492317202,0.2543792426586151,0.24210514,0.012274102658615116,0.46272122859954834,0.4024908,0.06023042859954836
nearest_neighbor_baseline,8,71597,40529,2.144866704940796,0.9901874661445618,0.99189395,0.0017064838554382566,3.064157724380493,2.958586,0.10557172438049323,0.32417675852775574,0.3242428,6.604147224426038e-05,0.3924974799156189,0.39422894,0.0017314600843811312,0.6490820646286011,0.7152921,0.06621003537139891
nearest_neighbor_baseline,9,15184,8067,2.6693387031555176,0.8939717411994934,0.9380948,0.0441230588005066,17.550029754638672,15.09445,2.4555797546386717,0.21879875659942627,0.21274278,0.006055976599426277,0.22420477867126465,0.22207873,0.0021260486712646465,0.33851158618927,0.37097368,0.03246209381072995
nearest_neighbor_baseline,10,116513,24018,2.3098766803741455,0.5089596509933472,0.3533679,0.15559175099334716,13.240516662597656,15.903919,2.663402337402344,0.24130646884441376,0.26431936,0.023012891155586246,0.31057900190353394,0.2954089,0.015170101903533961,0.5519990921020508,0.5033014,0.04869769210205077
nearest_neighbor_baseline,11,72301,80315,2.6502649784088135,0.5616682767868042,0.58143514,0.019766863213195762,19.473976135253906,20.258993,0.785016864746094,0.24507519602775574,0.23310496,0.011970236027755737,0.2625778019428253,0.26235133,0.00022647194282532368,0.32543814182281494,0.45395133,0.12851318817718504
nearest_neighbor_baseline,12,105690,19973,0.9811606407165527,0.3099328875541687,0.17833596,0.1315969275541687,27.620410919189453,27.576347,0.04406391918945474,0.8090837597846985,0.8260057,0.016921940215301468,0.8097410202026367,0.82681197,0.017070949797363233,0.10266454517841339,0.10525237,0.0025878248215866068
nearest_neighbor_baseline,13,8656,68576,2.5238988399505615,0.7102619409561157,0.6999377,0.010324240956115727,22.707836151123047,19.408997,3.2988391511230475,0.3704628646373749,0.30825895,0.0622039146373749,0.41450461745262146,0.37106785,0.04343676745262148,0.5795390605926514,0.69473225,0.11519318940734868
nearest_neighbor_baseline,14,56719,84890,1.7982006072998047,0.4216685891151428,0.56644064,0.14477205088485723,21.87755012512207,22.261204,0.383653874877929,0.19254636764526367,0.2002014,0.00765503235473633,0.21139048039913177,0.22082578,0.009435299600868224,0.4909816086292267,0.4909403,4.130862922668843e-05
nearest_neighbor_baseline,15,6689,124862,1.7068747282028198,0.8581953048706055,0.8357882,0.022407104870605488,14.758156776428223,15.258431,0.5002742235717772,0.3365311324596405,0.35309833,0.016567197540359513,0.34303683042526245,0.35740274,0.014365909574737545,0.28364819288253784,0.2472404,0.03640779288253784
nearest_neighbor_baseline,16,100831,75770,2.1470887660980225,0.9849546551704407,0.97950435,0.00545030517044065,3.6917171478271484,3.3362637,0.3554534478271485,0.2532164454460144,0.2791093,0.0258928545539856,0.2786288261413574,0.30948865,0.030859823858642554,0.5067764520645142,0.4676934,0.03908305206451418
nearest_neighbor_baseline,17,116679,12611,1.2538403272628784,0.7869672775268555,0.8213266,0.03435932247314455,20.95881462097168,20.952593,0.006221620971679442,0.46673864126205444,0.45154494,0.015193701262054438,0.47117915749549866,0.46469358,0.006485577495498662,0.25678491592407227,0.2972435,0.04045858407592773
nearest_neighbor_baseline,18,101305,53880,2.258317232131958,0.18897074460983276,0.07165852,0.11731222460983276,25.89240837097168,30.52825,4.63584162902832,0.4184214770793915,0.41275868,0.005662797079391491,0.4232465922832489,0.42202425,0.0012223422832489117,0.247052401304245,0.2335222,0.013530201304244982
