metric,model_mae,random_mae,nearest_neighbor_mae,delta_model_minus_nn,delta_nn_minus_random,model_reduction_vs_nn,nn_reduction_vs_random,model_better_fraction_vs_nn,nn_better_fraction_vs_random,model_vs_nn_paired_t_stat_less,model_vs_nn_paired_t_p_less,nn_vs_random_paired_t_stat_less,nn_vs_random_paired_t_p_less
eta,0.07860448531079467,0.3410615542224759,0.07086844174239405,0.007736043568400613,-0.27019311248008193,-0.10916062746971411,0.7922121656193291,0.517,0.859,2.338909338204853,0.9902317545855022,-32.66416818120551,4.2163992287754143e-160
tau_transfer,1.9622070168425867,7.81631188311021,1.5678172212967896,0.3943897955457972,-6.24849466181342,-0.2515534273947988,0.7994172642106836,0.445,0.863,5.360581904451503,0.9999999484840518,-32.1921710262014,7.351987673032395e-157
ipr,0.03196938885244166,0.13492379338453633,0.022828840649786148,0.009140548202655509,-0.11209495273475016,-0.40039476129687457,0.8308019654863739,0.468,0.86,7.143967820403673,0.999999999999127,-25.28851988721424,9.340781190573109e-110
purity,0.03426375891358572,0.13124792752099904,0.02468404530901886,0.009579713604566855,-0.1065638822119802,-0.3880933406432656,0.8119281136453028,0.45,0.842,7.436054014966414,0.9999999999998885,-24.43686867586991,4.570900150508711e-104
c_l1,0.051327101650647106,0.16855780419986827,0.054407694989828316,-0.0030805933391812044,-0.11415010921003994,0.05662054493867341,0.6772163991569675,0.565,0.798,-1.529072847893935,0.06328147202279805,-25.970636671947876,2.415435588135422e-114
